Aダイヤ 新宿駅 下り時刻表,,,,,,
6,快速,,,,,
,58,,,,,
,高崎,,,,,
,4,,,,,
7,普通,快速,普通,,,
,22,39,59,,,
,小金井,籠原,小金井,,,
,4,4,4,,,
8,快速,普通,快速,普通,快速,普通
,08,17,26,39,44,55
,高崎,宇都宮,籠原,小金井,高崎,小金井
,4,4,4,4,4,4
9,快速,快速,始発スペーシア日光,普通,普通,
,12,28,34,40,54,
,宇都宮,籠原,東武日光,宇都宮,古河,
,4,4,3,4,4,
10,特別快速,始発きぬがわ,快速,普通,快速,
,11,31,36,46,51,
,高崎,鬼怒川温泉,宇都宮,小金井,籠原,
,4,3,4,4,4,
11,快速,特別快速,普通,快速,,
,10,21,40,49,,
,宇都宮,高崎,宇都宮,籠原,,
,4,4,4,4,,
12,快速,特別快速,普通,快速,,
,10,20,40,50,,
,宇都宮,高崎,宇都宮,籠原,,
,4,4,4,4,,
13,快速,特別快速,普通,快速,,
,09,20,40,49,,
,宇都宮,高崎,宇都宮,籠原,,
,4,4,4,4,,
14,快速,特別快速,普通,快速,,
,09,20,40,50,,
,宇都宮,高崎,宇都宮,籠原,,
,4,4,4,4,,
15,快速,特別快速,普通,快速,,
,10,20,40,49,,
,宇都宮,高崎,宇都宮,籠原,,
,4,4,4,4,,
16,快速,特別快速,普通,快速,,
,09,20,40,50,,
,宇都宮,高崎,古河,籠原,,
,4,4,4,4,,
17,快速,特別快速,普通,快速,,
,09,23,40,52,,
,宇都宮,高崎,小金井,籠原,,
,4,4,4,4,,
18,普通,快速,普通,快速,,
,11,23,36,53,,
,宇都宮,高崎,小金井,籠原,,
,4,4,4,4,,
19,普通,快速,快速,普通,快速,
,09,13,24,40,55,
,古河,籠原,籠原,宇都宮,前橋,
,4,4,4,4,4,
20,普通,快速,普通,快速,,
,10,23,39,55,,
,古河,籠原,古河,前橋,,
,4,4,4,4,,
21,快速,普通,快速,快速,,
,10,24,44,59,,
,籠原,宇都宮,籠原,高崎,,
,4,4,4,4,,
22,普通,快速,,,,
,14,30,,,,
,小金井,高崎,,,,
,4,4,,,,
23,普通,快速,,,,
,02,33,,,,
,小金井,籠原,,,,
,4,4,,,,
