Aダイヤ 新宿駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,,,,,,
4,快速,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,,,,,,,,,,,,,,,,,,,,,,,,
,東京,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,
5,快速,快速,快速,快速,快速,快速,,,,,,,,,,,,,,,,,,,,
,09,20,30,40,50,56,,,,,,,,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,,,,,,,,
,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,
6,快速,快速,快速,快速,快速,快速,青梅特快,快速,中央特快,快速,快速,,,,,,,,,,,,,,,
,02,07,12,17,26,34,40,44,47,51,56,,,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,
7,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,かいじ,快速,快速,快速,通勤特快,快速,快速,快速,快速,通勤特快,快速,快速,,,,,
,00,03,08,12,17,20,22,25,28,31,33,38,40,42,45,47,50,52,54,57,59,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,
8,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,かいじ,快速,快速,快速,快速,快速,快速
,01,03,06,08,10,12,14,16,19,21,23,26,28,30,32,34,37,39,41,43,46,48,52,54,56,59
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,通勤特快,快速,快速,快速,快速,あずさ,快速,快速,快速,通勤特快,快速,かいじ,快速,快速,快速,快速,快速,あずさ,快速,快速,快速,,,,,
,01,03,05,08,10,13,15,17,22,25,27,30,32,35,39,41,44,47,49,54,58,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,
10,中央特快,快速,快速,快速,快速,中央特快,快速,かいじ,快速,青梅特快,快速,快速,快速,中央特快,快速,あずさ,,,,,,,,,,
,01,06,09,14,17,21,24,28,30,35,38,42,46,50,56,59,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,
11,快速,快速,中央特快,快速,中央特快,快速,かいじ,快速,快速,青梅特快,快速,快速,快速,あずさ,,,,,,,,,,,,
,02,06,11,15,18,23,30,32,36,39,44,48,52,56,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
12,快速,中央特快,快速,中央特快,快速,快速,中央特快,快速,快速,中央特快,快速,快速,青梅特快,,,,,,,,,,,,,
,00,05,08,12,18,21,26,31,35,38,44,49,53,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
13,快速,中央特快,快速,快速,中央特快,快速,中央特快,快速,快速,中央特快,快速,快速,青梅特快,快速,,,,,,,,,,,,
,00,03,10,12,17,23,27,31,35,40,44,50,55,58,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
14,快速,中央特快,快速,快速,中央特快,快速,中央特快,快速,中央特快,快速,快速,青梅特快,快速,,,,,,,,,,,,,
,02,06,13,17,21,26,30,35,39,44,48,53,58,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,
15,中央特快,快速,快速,中央特快,快速,中央特快,快速,中央特快,快速,快速,青梅特快,快速,,,,,,,,,,,,,,
,03,08,12,17,21,26,31,36,42,48,52,58,,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,
16,中央特快,快速,快速,快速,中央特快,快速,快速,中央特快,快速,快速,快速,快速,中央特快,快速,快速,,,,,,,,,,,
,03,09,11,15,18,22,28,33,36,40,43,46,48,52,56,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
17,快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,,,,,,
,01,04,06,09,11,13,15,18,20,25,29,32,35,38,41,44,47,49,52,56,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,
18,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,中央特快,,,,,,,,
,00,03,05,08,11,14,17,20,22,29,32,35,38,40,44,49,52,56,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,
19,快速,快速,快速,快速,快速,青梅特快,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,,,,,,,,,
,01,03,06,10,13,16,19,22,27,31,34,36,39,43,48,53,58,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,
20,中央特快,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,中央特快,,,,,,,,,,,
,02,05,08,12,15,18,22,27,31,35,38,45,49,52,56,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,
21,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,,,,,,,,,,,,
,00,04,07,12,19,22,27,31,34,38,44,49,52,57,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
22,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,中央特快,,,,,,,,,,,,
,00,03,07,14,19,23,27,30,34,37,40,47,54,59,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
23,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,,,,,,,,,,,,,,,,
,02,07,11,16,19,24,29,35,45,57,,,,,,,,,,,,,,,,
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,,,,,,,,,,,,,,,,
,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,
0,快速,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,,,,,,,,,
,東京,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,
