Aダイヤ 高崎駅 上り時刻表,,,,,,,
5,普通*,,,,,,
,25,,,,,,
,小山,,,,,,
,6,,,,,,
6,普通,普通,普通,普通,普通,,
,10,21,26,38,53,,
,小山,水上,伊勢崎,前橋,小山,,
,6,5,6,2,4,,
7,普通,普通,普通,普通,普通,普通,普通
,03,11,17,27,39,45,52
,小山,水上,桐生,長野原草津口,伊勢崎,水上,小山
,6,5,6,2,6,5,7
8,普通,普通,普通,普通,普通,,
,07,18,27,36,53,,
,伊勢崎,前橋,水上,小山,大前,,
,5,6,5,5,6,,
9,普通,普通,普通,,,,
,06,28,43,,,,
,伊勢崎,前橋,小山,,,,
,6,7,6,,,,
10,普通,普通,普通,普通,,,
,07,24,40,44,,,
,伊勢崎,水上,小山,万座・鹿沢口,,,
,6,5,7,6,,,
11,普通,草津・四万1号,普通,普通,,,
,10,19,37,44,,,
,伊勢崎,長野原草津口,小山,長野原草津口,,,
,6,2,6,5,,,
12,普通,普通,普通,,,,
,02,14,37,,,,
,水上,伊勢崎,小山,,,,
,5,6,6,,,,
13,普通,普通,草津・四万3号,普通,普通,,
,03,09,33,37,55,,
,水上,伊勢崎,長野原草津口,小山,万座・鹿沢口,,
,5,6,2,6,6,,
14,普通,普通,,,,,
,07,37,,,,,
,伊勢崎,小山,,,,,
,4,6,,,,,
15,普通,普通,普通,,,,
,08,28,43,,,,
,小山,伊勢崎,小山,,,,
,6,5,4,,,,
16,普通,普通*,普通,普通,,,
,07,28,34,58,,,
,桐生,小山,水上,小山,,,
,6,6,4,6,,,
17,普通,普通,普通,普通*,普通*,,
,08,22,27,37,57,,
,万座・鹿沢口,伊勢崎,水上,小山,小山,,
,4,6,4,4,6,,
18,普通,普通*,普通,普通,普通,,
,10,17,21,36,57,,
,大前,伊勢崎,水上,小山,水上,,
,6,6,7,5,6,,
19,普通,普通,普通,普通,普通*,普通*,
,06,17,31,40,44,57,
,小山,万座・鹿沢口,伊勢崎,水上,小山,渋川,
,6,5,6,7,6,5,
20,普通,普通,普通,普通,普通,,
,01,11,28,35,39,,
,前橋,桐生,水上,万座・鹿沢口,小山,,
,7,6,6,5,6,,
21,普通,普通,普通,普通,快速,,
,05,16,42,50,55,,
,前橋,桐生,小山,水上,前橋,,
,7,6,6,5,2,,
22,普通,普通,快速,,,,
,16,33,52,,,,
,前橋,桐生,前橋,,,,
,6,5,4,,,,
23,普通,普通,普通,,,,
,07,17,45,,,,
,水上,桐生,前橋,,,,
,7,6,4,,,,
0,普通,,,,,,
,06,,,,,,
,前橋,,,,,,
,2,,,,,,
