Aダイヤ 高崎駅 上り時刻表,,,,,,,,
5,普通,普通,普通,快速:湘南新宿ライン経由,,,,
,10,21,38,56,,,,
,熱海,国府津,品川,小田原,,,,
,7,8,2,7,,,,
6,普通,快速:湘南新宿ライン経由,普通,快速:湘南新宿ライン経由,普通,普通,普通,普通
,06,10,21,26,31,43,48,58
,小田原,国府津,熱海,平塚,熱海,小田原,平塚,上野
,7,8,8,7,8,8,7,7
7,快速:湘南新宿ライン経由,普通,普通,快速:湘南新宿ライン経由,あかぎ,普通,快速:湘南新宿ライン経由,
,02,12,18,26,40,44,59,
,小田原,品川,平塚,国府津,新宿,小田原,小田原,
,8,2,8,7,8,2,2,
8,普通,普通,,,,,,
,24,47,,,,,,
,平塚,小田原,,,,,,
,2,2,,,,,,
9,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,15,29,54,,,,,
,小田原,熱海,小田原,,,,,
,2,4,4,,,,,
10,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,14,26,54,,,,,
,小田原,熱海,小田原,,,,,
,2,4,4,,,,,
11,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,14,32,52,,,,,
,小田原,熱海,小田原,,,,,
,2,4,2,,,,,
12,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,14,32,53,,,,,
,小田原,熱海,小田原,,,,,
,2,4,8,,,,,
13,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,14,28,49,,,,,
,小田原,熱海,熱海,,,,,
,2,7,2,,,,,
14,草津・四万2号,特別快速:湘南新宿ライン経由,普通,普通,,,,
,06,14,28,52,,,,
,上野,小田原,熱海,熱海,,,,
,2,2,4,2,,,,
15,特別快速:湘南新宿ライン経由,普通,普通,,,,,
,14,30,55,,,,,
,小田原,上野,平塚,,,,,
,2,2,2,,,,,
16,快速:湘南新宿ライン経由,普通,普通,草津・四万4号,普通,,,
,11,26,41,46,59,,,
,小田原,熱海,国府津,上野,平塚,,,
,2,2,8,7,2,,,
17,快速:湘南新宿ライン経由,普通,普通,,,,,
,13,37,59,,,,,
,国府津,上野,熱海,,,,,
,2,7,4,,,,,
18,快速:湘南新宿ライン経由,普通,普通,,,,,
,15,31,47,,,,,
,平塚,熱海,熱海,,,,,
,4,8,2,,,,,
19,普通,快速:湘南新宿ライン経由,普通,普通,,,,
,07,17,30,46,,,,
,伊東,小田原,上野,国府津,,,,
,4,2,8,4,,,,
20,普通,普通,普通,,,,,
,07,30,48,,,,,
,国府津,上野,熱海,,,,,
,2,8,7,,,,,
21,快速:湘南新宿ライン経由,普通,普通,,,,,
,05,30,46,,,,,
,国府津,上野,上野,,,,,
,4,7,8,,,,,
22,普通,普通,,,,,,
,15,33,,,,,,
,上野,上野,,,,,,
,8,8,,,,,,
23,普通,,,,,,,
,06,,,,,,,
,籠原,,,,,,,
,8,,,,,,,
