Aダイヤ 上野駅 下り時刻表,,,,,,,,,,,,,,,,,,
6,普通,普通,普通,普通,普通,普通,,,,,,,,,,,,
,17,20,29,38,47,54,,,,,,,,,,,,
,小田原,熱海,品川,平塚,小田原,熱海,,,,,,,,,,,,
,8,7,8,7,7,7,,,,,,,,,,,,
7,普通,ときわ,普通,普通,普通,普通,普通,普通,快速,普通,普通,普通,快速,,,,,
,02,07,12,22,25,29,36,41,43,46,51,54,58,,,,,
,小田原,品川,国府津,熱海,品川,小田原,熱海,品川,品川,国府津,品川,熱海,品川,,,,,
,7,9,7,7,8,7,7,7,9,7,9,7,9,,,,,
8,普通,ときわ,普通,快速,普通,普通,普通,快速,普通,快速,普通,普通,ひたち,普通,普通,普通,普通,普通
,01,03,06,08,12,14,17,20,23,26,29,32,36,39,43,46,51,55
,平塚,品川,大船,品川,小田原,品川,熱海,品川,国府津,品川,熱海,品川,品川,品川,小田原,品川,品川,平塚
,7,9,7,8,7,9,7,9,7,9,7,9,9,7,7,9,7,7
9,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,普通,普通,普通,普通,特別快速,,,
,00,04,07,10,14,17,24,29,33,36,39,48,51,54,59,,,
,熱海,品川,品川,熱海,品川,平塚,熱海,品川,品川,小田原,品川,熱海,品川,熱海,品川,,,
,7,7,9,7,9,7,7,9,9,7,8,7,9,7,9,,,
10,普通,ときわ,普通,普通,普通,始発普通,ひたち,普通,普通,普通,特別快速,,,,,,,
,03,08,12,17,21,30,37,41,44,51,59,,,,,,,
,品川,品川,平塚,品川,熱海,熱海,品川,小田原,品川,平塚,品川,,,,,,,
,7,9,7,9,7,7,9,7,9,7,9,,,,,,,
11,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,,
,02,08,11,21,24,31,37,41,44,51,,,,,,,,
,熱海,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,,
,7,9,7,7,9,7,9,7,9,7,,,,,,,,
12,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,02,08,11,21,24,31,37,41,44,51,,,,,,,
,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,7,9,9,7,7,9,7,9,7,9,7,,,,,,,
13,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,01,03,09,11,21,24,31,37,41,44,51,,,,,,,
,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,7,9,9,7,7,9,7,9,7,9,7,,,,,,,
14,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,01,03,09,11,21,24,31,37,41,44,51,,,,,,,
,熱海,品川,品川,平塚,熱海,品川,熱海,品川,小田原,品川,平塚,,,,,,,
,7,9,9,7,7,9,7,9,7,9,7,,,,,,,
15,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,03,09,11,21,24,31,37,41,44,51,,,,,,,
,伊東,品川,品川,平塚,熱海,品川,国府津,品川,熱海,品川,小田原,,,,,,,
,7,9,9,7,7,9,7,9,7,9,7,,,,,,,
16,普通,普通,ときわ,普通,普通,普通,普通,ひたち,普通,普通,普通,,,,,,,
,00,03,09,12,21,24,31,38,42,52,54,,,,,,,
,平塚,品川,品川,伊東,熱海,品川,小田原,品川,小田原,熱海,品川,,,,,,,
,7,9,9,7,7,9,7,9,7,7,9,,,,,,,
17,普通,快速,ときわ,普通,始発普通,普通,普通,快速,普通,ひたち,普通,普通,普通,普通,,,,
,01,04,08,11,18,20,24,29,33,38,41,47,52,54,,,,
,平塚,品川,品川,熱海,小田原,品川,伊東,品川,小田原,品川,熱海,国府津,品川,小田原,,,,
,7,9,9,7,7,9,7,9,7,9,7,7,9,7,,,,
18,普通,普通,ときわ,始発普通,普通,普通,普通,普通,普通,ひたち,普通,普通,始発普通,普通,,,,
,01,05,08,10,14,20,25,29,33,39,41,49,54,59,,,,
