Aダイヤ 上野駅 下り時刻表,,,,,,
5,始発普通,始発普通,始発普通,,,
,10,32,46,,,
,宇都宮,宇都宮,宇都宮,,,
,5,6,5,,,
6,始発普通,普通,ラビット,始発普通,,
,08,36,48,59,,
,宇都宮,小金井,宇都宮,宇都宮,,
,6,5,5,14,,
7,普通,普通,普通,ラビット,,
,16,37,46,55,,
,宇都宮,小金井,宇都宮,宇都宮,,
,5,5,5,5,,
8,普通,普通,普通,普通,普通,
,10,23,37,46,54,
,宇都宮,小金井,宇都宮,宇都宮,小金井,
,6,5,6,6,5,
9,普通,普通,普通,普通,,
,08,18,36,52,,
,古河,宇都宮,小金井,小金井,,
,5,6,5,5,,
10,普通,普通,普通,普通,,
,06,25,36,55,,
,宇都宮,小金井,宇都宮,小金井,,
,5,5,5,5,,
11,普通,普通,普通,,,
,16,35,55,,,
,宇都宮,古河,小金井,,,
,5,5,5,,,
12,普通,普通,普通,,,
,15,35,55,,,
,宇都宮,古河,小金井,,,
,5,5,5,,,
13,普通,普通,普通,,,
,16,35,55,,,
,宇都宮,古河,宇都宮,,,
,5,5,5,,,
14,普通,普通,普通,,,
,17,35,55,,,
,宇都宮,古河,小金井,,,
,5,5,5,,,
15,普通,普通,普通,,,
,15,35,55,,,
,宇都宮,古河,小金井,,,
,5,5,5,,,
16,普通,普通,普通,,,
,15,35,55,,,
,宇都宮,宇都宮,宇都宮,,,
,5,5,5,,,
17,始発普通,普通,始発普通,普通,普通,普通
,00,16,21,35,50,57
,小金井,宇都宮,小金井,古河,宇都宮,小金井
,14,5,14,5,5,5
18,普通,始発ラビット,普通,始発普通,普通,始発普通
,13,19,27,35,48,56
,古河,宇都宮,小金井,宇都宮,宇都宮,小金井
,5,15,5,16,5,16
19,普通,始発ラビット,普通,普通,普通,始発普通
,05,18,21,37,52,55
,小金井,宇都宮,宇都宮,古河,小金井,宇都宮
,5,16,5,5,5,16
20,普通,普通,普通,始発普通,普通,
,11,27,36,50,54,
,宇都宮,小金井,宇都宮,宇都宮,小金井,
,5,5,5,13,5,
21,普通,始発普通,普通,普通,,
,15,22,36,51,,
,宇都宮,小金井,小金井,宇都宮,,
,5,14,5,5,,
22,始発普通,始発普通,普通,普通,,
,04,16,27,46,,
,小金井,宇都宮,小金井,宇都宮,,
,15,15,5,5,,
23,普通,始発普通,普通,,,
,14,28,38,,,
,宇都宮,小金井,小金井,,,
,5,14,5,,,
