Aダイヤ 上野駅 下り時刻表,,,,,,,,
5,始発普通,始発普通,,,,,,
,13,43,,,,,,
,高崎,高崎,,,,,,
,6,7,,,,,,
6,普通,始発普通,普通,始発普通,普通,,,
,00,12,26,40,55,,,
,高崎,高崎,高崎,高崎,籠原,,,
,5,7,5,6,5,,,
7,始発普通,普通,始発普通,普通,,,,
,11,24,31,49,,,,
,籠原,高崎,高崎,高崎,,,,
,15,5,14,5,,,,
8,普通,普通,アーバン,普通,,,,
,00,15,32,42,,,,
,籠原,籠原,高崎,高崎,,,,
,6,6,6,6,,,,
9,普通,普通,アーバン,普通,普通,,,
,02,15,28,45,56,,,
,籠原,籠原,高崎,高崎,高崎,,,
,6,5,5,5,5,,,
10,始発草津・四万,普通,始発普通,普通,,,,
,00,15,30,45,,,,
,長野原草津口,高崎,籠原,高崎,,,,
,14,5,15,5,,,,
11,普通,普通,普通,,,,,
,05,25,45,,,,,
,籠原,高崎,高崎,,,,,
,5,5,5,,,,,
12,普通,始発草津・四万,普通,普通,,,,
,05,10,27,45,,,,
,籠原,長野原草津口,高崎,高崎,,,,
,5,14,5,5,,,,
13,普通,普通,普通,,,,,
,05,27,45,,,,,
,籠原,高崎,高崎,,,,,
,5,5,5,,,,,
14,普通,普通,普通,,,,,
,05,27,45,,,,,
,籠原,高崎,高崎,,,,,
,5,5,5,,,,,
15,普通,普通,普通,,,,,
,05,25,45,,,,,
,籠原,高崎,高崎,,,,,
,5,5,5,,,,,
16,普通,普通,始発普通,普通,,,,
,05,25,32,45,,,,
,高崎,籠原,高崎,高崎,,,,
,5,5,15,5,,,,
17,普通,始発普通,普通,始発普通,普通,,,
,05,11,25,31,44,,,
,高崎,籠原,籠原,高崎,高崎,,,
,5,15,5,15,5,,,
18,始発あかぎ,始発普通,普通,普通,始発あかぎ,普通,始発アーバン,普通
,00,04,09,22,30,38,42,52
,鴻巣,高崎,高崎,籠原,本庄,高崎,高崎,籠原
,15,14,5,5,14,5,15,5
19,始発あかぎ,始発普通,普通,始発あかぎ,普通,始発アーバン,普通,
,00,09,14,30,33,41,47,
,高崎,高崎,高崎,本庄,高崎,高崎,籠原,
,14,15,5,15,5,14,5,
20,始発あかぎ,普通,始発普通,普通,始発普通,普通,,
,00,03,14,24,33,44,,
,高崎,籠原,籠原,高崎,高崎,高崎,,
,15,5,14,5,15,5,,
21,始発普通,普通,普通,普通,,,,
,03,07,26,44,,,,
,籠原,籠原,高崎,高崎,,,,
,17,5,5,5,,,,
22,普通,普通,普通,普通,,,,
,08,19,36,54,,,,
,籠原,前橋,籠原,籠原,,,,
,5,5,5,5,,,,
23,始発普通,普通,始発普通,,,,,
,07,25,46,,,,,
,籠原,高崎,籠原,,,,,
,15,5,6,,,,,
