Aダイヤ 上野駅 下り時刻表,,,,,,,,,,,,
4,始発快速,,,,,,,,,,,
,33,,,,,,,,,,,
,取手,,,,,,,,,,,
,9,,,,,,,,,,,
5,始発快速,始発普通,始発快速,始発快速,,,,,,,,
,03,11,31,51,,,,,,,,
,取手,勝田,取手,取手,,,,,,,,
,12,9,11,12,,,,,,,,
6,始発普通,始発快速,始発快速,始発普通,始発快速,普通,始発快速,,,,,
,04,13,22,31,41,49,54,,,,,
,水戸,取手,取手,勝田,取手,勝田,取手,,,,,
,9,11,12,9,11,6,12,,,,,
7,特急ひたち,始発普通,始発快速,始発快速,始発普通,特急ときわ,始発快速,普通,始発快速,始発普通,,
,00,02,10,16,24,30,33,41,50,57,,
,いわき,水戸,取手,成田,勝田,高萩,取手,土浦,取手,土浦,,
,8,10,12,11,9,8,11,6,12,10,,
8,特急ひたち,始発快速,始発普通,始発快速,始発特急ときわ,始発普通,始発快速,始発普通,始発快速,,,
,00,06,14,25,30,35,39,49,55,,,
,仙台,取手,勝田,取手,勝田,土浦,成田,勝田,取手,,,
,8,11,12,11,17,10,11,10,12,,,
9,特急ひたち,始発普通,始発快速,始発快速,普通,特急ときわ,始発快速,始発快速,普通,,,
,00,06,12,20,25,30,35,45,53,,,
,いわき,土浦,取手,取手,土浦,勝田,成田,取手,土浦,,,
,8,10,11,12,6,8,11,11,6,,,
10,特急ひたち,普通,始発快速,始発快速,特急ときわ,普通,始発快速,普通,,,,
,00,07,16,20,30,33,39,51,,,,
,いわき,土浦,取手,松戸,勝田,土浦,成田,土浦,,,,
,8,6,12,11,8,6,12,6,,,,
11,特急ひたち,始発快速,普通,始発快速,特急ときわ,普通,始発快速,普通,,,,
,00,02,12,22,30,32,42,52,,,,
,いわき,取手,土浦,取手,勝田,土浦,成田,土浦,,,,
,8,11,6,12,8,6,11,6,,,,
12,特急ひたち,始発快速,普通,始発快速,特急ときわ,普通,始発快速,普通,,,,
,00,02,12,22,30,32,42,52,,,,
,いわき,取手,土浦,取手,勝田,土浦,成田,土浦,,,,
,8,12,6,11,8,6,12,6,,,,
13,特急ひたち,始発快速,普通,始発快速,特急ときわ,普通,始発快速,普通,,,,
,00,02,12,22,30,32,42,52,,,,
,仙台,取手,土浦,取手,勝田,土浦,成田,土浦,,,,
,8,11,6,12,8,6,11,6,,,,
14,特急ひたち,始発快速,普通,始発快速,特急ときわ,普通,始発快速,普通,,,,
,00,02,12,22,30,32,42,52,,,,
,いわき,取手,水戸,取手,勝田,勝田,成田,水戸,,,,
,8,12,6,11,8,6,12,6,,,,
15,特急ひたち,始発快速,特別快速,始発普通,始発快速,特急ときわ,普通,始発快速,普通,,,
,00,02,11,13,22,30,32,42,51,,,
,いわき,取手,土浦,勝田,取手,勝田,土浦,成田,勝田,,,
,8,11,6,8,12,8,6,11,6,,,
16,特急ひたち,始発快速,特別快速,始発普通,始発快速,特急ときわ,普通,始発快速,普通,,,
,00,02,11,13,23,30,32,42,51,,,
,いわき,取手,土浦,水戸,取手,勝田,土浦,取手,高萩,,,
,8,12,6,8,11,8,6,12,6,,,
17,特急ひたち,始発快速,普通,快速,特急ときわ,始発快速,普通,快速,始発普通,,,
,00,02,12,22,30,32,38,46,54,,,
,仙台,取手,勝田,取手,勝田,取手,勝田,取手,勝田,,,
,8,11,6,6,8,12,6,6,10,,,
18,特急ひたち,始発快速,普通,始発快速,始発普通,快速,特急ときわ,始発快速,普通,始発快速,快速,始発普通
,00,02,08,14,20,25,30,33,40,45,50,55
,いわき,成田,水戸,取手,土浦,成田,高萩,取手,勝田,取手,成田,勝田
,8,11,6,12,10,6,8,11,6,12,6,10
19,特急ひたち,始発快速,普通,始発快速,快速,始発普通,特急ときわ,始発快速,普通,快速,始発普通,
,00,02,10,16,22,27,30,33,42,49,54,
,いわき,取手,勝田,成田,取手,土浦,勝田,取手,勝田,成田,土浦,
,8,11,6,12,6,10,8,11,6,6,10,
20,特急ひたち,始発快速,普通,快速,始発普通,特急ときわ,始発快速,普通,快速,始発普通,,
,00,04,11,19,25,30,33,41,48,56,,
,いわき,取手,土浦,取手,水戸,高萩,取手,土浦,成田,勝田,,
,8,12,6,6,10,8,11,6,6,9,,
21,特急ひたち,始発快速,普通,快速,特急ときわ,始発普通,快速,普通,,,,
,00,07,14,24,30,34,44,54,,,,
,いわき,取手,土浦,取手,勝田,勝田,取手,土浦,,,,
,8,12,6,6,8,10,6,6,,,,
22,特急ときわ,始発快速,普通,快速,特急ときわ,始発普通,快速,普通,,,,
,00,02,11,22,30,32,42,52,,,,
,高萩,成田,勝田,取手,土浦,土浦,成田,勝田,,,,
,8,11,6,6,8,10,6,6,,,,
23,特急ときわ,始発快速,普通,始発快速,始発快速,始発普通,始発快速,,,,,
,00,02,12,21,31,42,49,,,,,
,勝田,取手,土浦,取手,取手,土浦,取手,,,,,
,8,12,6,12,10,11,10,,,,,
0,始発快速,始発快速,始発快速,始発快速,,,,,,,,
,00,12,23,33,,,,,,,,
,取手,我孫子,松戸,松戸,,,,,,,,
,12,11,12,11,,,,,,,,
