Aダイヤ 宇都宮駅 上り時刻表,,,
5,普通6両,普通6両,
,16,50,
,黒磯,黒磯,
,8,8,
6,普通6両,普通3両,
,11,57,
,黒磯,黒磯,
,7,8,
7,普通6両,普通6両,
,17,38,
,黒磯,黒磯,
,8,9,
8,普通6両,普通3両,
,2,35,
,黒磯,黒磯,
,9,8,
9,普通3両,普通3両,
,12,49,
,黒磯,黒磯,
,10,10,
10,普通3両,普通3両,
,21,48,
,黒磯,黒磯,
,10,9,
11,普通3両,普通3両,
,23,46,
,黒磯,黒磯,
,9,8,
12,普通3両,普通3両,
,20,46,
,黒磯,黒磯,
,9,9,
13,普通3両,普通3両,
,21,45,
,黒磯,黒磯,
,9,9,
14,普通3両,普通3両,
,18,45,
,黒磯,黒磯,
,8,8,
15,普通3両,普通3両,
,19,46,
,黒磯,黒磯,
,8,8,
16,普通3両,普通3両,
,10,42,
,黒磯,黒磯,
,9,8,
17,普通6両,普通6両,普通6両
,12,35,54
,黒磯,黒磯,黒磯
,10,10,10
18,普通3両,普通6両,普通3両
,12,34,51
,黒磯,黒磯,黒磯
,10,8,9
19,普通6両,普通6両,
,20,45,
,黒磯,黒磯,
,9,9,
20,普通3両,普通3両,
,17,40,
,黒磯,黒磯,
,10,10,
21,普通3両,普通3両,
,0,40,
,黒磯,黒磯,
,8,9,
22,普通6両,普通3両,
,11,51,
,黒磯,黒磯,
,8,9,
