Aダイヤ 宇都宮駅 上り時刻表,,,,,
4,普通,,,,
,37,,,,
,熱海,,,,
,10,,,,
5,普通*,普通*,普通,,
,15,40,58,,
,大船,熱海,大船,,
,10,7,8,,
6,普通5両,普通,普通,,
,14,33,49,,
,熱海,大船,逗子,,
,10,8,7,,
7,普通,普通*,普通,普通*,
,2,18,37,45,
,熱海,熱海,品川,熱海,
,7,7,8,10,
8,普通*,普通*,普通,快速,普通*
,7,21,29,36,55
,熱海,上野,熱海,逗子,逗子
,7,10,7,7,7
9,普通6両,普通,快速,普通,
,8,23,38,56,
,小金井,平塚,逗子,逗子,
,9,8,7,7,
10,普通,普通,快速,普通,
,6,21,35,45,
,平塚,平塚,逗子,熱海,
,7,8,8,10,
11,普通,普通,快速,普通*,
,3,19,35,52,
,平塚,平塚,逗子,逗子,
,7,8,8,7,
12,普通,快速,普通,,
,12,35,55,,
,平塚,逗子,逗子,,
,8,8,7,,
13,普通,快速,普通*,,
,18,32,48,,
,国府津,逗子,逗子,,
,10,7,10,,
14,普通,快速,普通*,,
,16,35,54,,
,伊東,逗子,逗子,,
,7,8,7,,
15,普通*,快速*,普通,,
,12,34,54,,
,小田原,逗子,逗子,,
,10,8,7,,
16,普通,快速,普通,,
,12,37,57,,
,小田原,逗子,逗子,,
,10,7,7,,
17,普通,普通,普通,,
,15,35,56,,
,熱海,小田原,逗子,,
,8,7,7,,
18,普通,普通,普通,,
,15,36,59,,
,小田原,平塚,熱海,,
,8,10,10,,
19,普通,普通,普通,普通,
,13,30,42,59,
,平塚,大船,小田原,熱海,
,7,10,8,10,
20,普通*,普通,普通,,
,22,37,47,,
,上野,大船,国府津,,
,10,8,7,,
21,普通,普通,普通,,
,9,35,49,,
,平塚,上野,上野,,
,7,8,7,,
22,普通,普通,,,
,18,42,,,
,上野,大宮,,,
,10,10,,,
