平日ダイヤ 横浜駅 下り時刻表,,,,,,,,,,,,,,,,,,
4,各駅停車,各駅停車,,,,,,,,,,,,,,,,
,36,50,,,,,,,,,,,,,,,,
,大船,大船,,,,,,,,,,,,,,,,
,3,3,,,,,,,,,,,,,,,,
5,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,
,07,22,29,35,48,53,58,,,,,,,,,,,
,桜木町,大船,桜木町,大船,大船,桜木町,大船,,,,,,,,,,,
,3,3,3,3,3,3,3,,,,,,,,,,,
6,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,07,13,15,18,23,30,32,39,42,46,51,54,,,,,,
,大船,桜木町,大船,磯子,大船,大船,桜木町,大船,桜木町,大船,大船,桜木町,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
7,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,00,04,07,10,16,18,23,27,30,36,40,43,46,50,54,57,,
,大船,桜木町,大船,磯子,大船,桜木町,大船,磯子,大船,磯子,大船,桜木町,磯子,大船,桜木町,磯子,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
8,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車
,01,04,08,11,15,18,22,24,28,31,33,36,38,42,45,48,51,57
,大船,大船,桜木町,大船,磯子,大船,桜木町,大船,磯子,大船,桜木町,大船,大船,大船,磯子,大船,桜木町,大船
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,01,06,10,14,20,24,28,30,32,36,39,42,46,50,52,57,,
,磯子,大船,大船,磯子,大船,磯子,大船,桜木町,大船,磯子,大船,桜木町,大船,桜木町,磯子,大船,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
10,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,03,07,11,14,20,22,24,28,33,35,38,41,44,47,52,55,,
,大船,磯子,桜木町,大船,磯子,桜木町,大船,磯子,桜木町,大船,磯子,桜木町,大船,磯子,桜木町,大船,,
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
11,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,
,02,05,08,12,15,22,25,32,35,39,42,45,52,55,59,,,
