平日ダイヤ 横浜駅 上り時刻表,,,,,,,,,,,,,,,,,,,
4,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,,,,,
,21,35,47,59,,,,,,,,,,,,,,,
,大宮,大宮,大宮,大宮,,,,,,,,,,,,,,,
,4,4,4,4,,,,,,,,,,,,,,,
5,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,,,,,,
,14,28,34,43,47,54,,,,,,,,,,,,,
,大宮,大宮,大宮,八王子,大宮,大宮,,,,,,,,,,,,,
,4,4,4,4,4,4,,,,,,,,,,,,,
6,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,02,09,12,18,25,27,32,39,43,46,50,54,56,,,,,,
,大宮,八王子,大宮,大宮,大宮,八王子,南浦和,大宮,南浦和,大宮,南浦和,大宮,八王子,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,
7,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車
,02,06,08,13,16,18,21,24,27,30,33,36,39,42,44,48,51,55,59
,南浦和,大宮,大宮,大宮,大宮,八王子,大宮,赤羽,大宮,大宮,大宮,南浦和,大宮,南浦和,大宮,南浦和,大宮,大宮,八王子
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,01,04,08,10,14,17,20,22,25,28,33,36,40,43,47,51,56,,
,大宮,南浦和,赤羽,南浦和,大宮,南浦和,南浦和,橋本,赤羽,大宮,大宮,橋本,大宮,八王子,南浦和,南浦和,八王子,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
9,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,快速,各駅停車,快速,,,,
,00,06,10,14,16,22,26,30,33,37,42,45,52,55,57,,,,
,南浦和,赤羽,八王子,大宮,南浦和,大宮,南浦和,八王子,大宮,南浦和,大宮,橋本,大宮,八王子,南浦和,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
10,快速,快速,快速,快速,快速,快速,快速,各駅停車,快速,快速,快速,快速,各駅停車,快速,,,,,
,02,05,07,17,22,25,28,35,37,43,45,51,55,58,,,,,
,大宮,八王子,南浦和,南浦和,大宮,八王子,南浦和,八王子,南浦和,大宮,八王子,大宮,八王子,南浦和,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
11,快速,快速,快速,各駅停車,快速,快速,快速,快速,各駅停車,快速,快速,快速,快速,各駅停車,快速,,,,
,02,05,12,15,19,23,25,32,35,38,43,46,53,55,58,,,,
,大宮,八王子,大宮,八王子,南浦和,大宮,八王子,大宮,八王子,南浦和,大宮,八王子,大宮,八王子,南浦和,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,
12,快速,快速,快速,各駅停車,快速,快速,快速,快速,各駅停車,快速,快速,快速,快速,各駅停車,快速,,,,
