Aダイヤ 横浜駅 下り時刻表,,,,,,,,,,
4,普通,,,,,,,,,
,54,,,,,,,,,
,熱海,,,,,,,,,
,6,,,,,,,,,
5,普通,普通,,,,,,,,
,28,48,,,,,,,,
,小田原,沼津,,,,,,,,
,6,6,,,,,,,,
6,普通,普通,普通,普通,普通,,,,,
,07,20,36,45,52,,,,,
,沼津,小田原,熱海,小田原,小田原,,,,,
,6,6,6,6,6,,,,,
7,普通,普通,普通,普通,普通,普通,普通,,,
,00,15,21,29,37,45,55,,,
,熱海,平塚,小田原,熱海,小田原,国府津,熱海,,,
,6,6,6,6,6,6,6,,,
8,普通,普通,普通,普通,普通,普通,普通,普通,普通,
,02,10,21,30,36,41,45,52,59,
,小田原,熱海,国府津,熱海,平塚,大船,小田原,熱海,国府津,
,6,6,6,6,6,6,6,6,6,
9,普通,普通,特急踊り子,普通,普通,普通,普通,,,
,07,18,24,29,34,46,52,,,
,熱海,小田原,伊豆急下田/修善寺,平塚,熱海,熱海,平塚,,,
,6,6,6,6,6,6,6,,,
10,普通,普通,特急踊り子,普通,普通,普通,普通,,,
,02,11,24,26,35,44,56,,,
,熱海,小田原,伊豆急下田,熱海,熱海,平塚,熱海,,,
,6,6,6,5,6,6,6,,,
11,普通,普通,特急ｻﾌｨｰﾙ踊り子,普通,普通,普通,普通,,,
,04,14,24,26,34,44,56,,,
,熱海,小田原,伊豆急下田,平塚,熱海,平塚,熱海,,,
,6,6,6,5,6,6,6,,,
12,普通,普通,特急踊り子,普通,普通,普通,普通,,,
,04,13,24,26,33,44,52,,,
,熱海,小田原,伊豆急下田/修善寺,平塚,熱海,平塚,熱海,,,
,6,6,6,5,6,6,6,,,
13,普通,普通,特急踊り子,普通,普通,普通,普通,,,
,04,13,24,26,33,44,54,,,
,熱海,小田原,伊豆急下田,平塚,熱海,平塚,熱海,,,
,6,6,6,5,6,6,6,,,
14,普通,普通,普通,普通,普通,普通,,,,
,04,13,24,33,44,52,,,,
,熱海,小田原,平塚,熱海,平塚,熱海,,,,
,6,6,6,6,6,6,,,,
15,普通,普通,普通,普通,普通,普通,,,,
,04,13,23,33,44,52,,,,
,熱海,小田原,平塚,伊東,平塚,熱海,,,,
,6,6,6,6,6,6,,,,
16,普通,普通,普通,普通,普通,普通,,,,
,02,13,24,33,44,54,,,,
,国府津,熱海,小田原,平塚,伊東,熱海,,,,
,6,6,6,6,6,6,,,,
17,普通,普通,普通,普通,普通,普通,,,,
,05,14,23,34,44,54,,,,
,小田原,小田原,熱海,平塚,熱海,小田原,,,,
,6,6,6,6,6,6,,,,
18,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,01,08,17,26,31,35,41,46,50,56
,伊東,小田原,熱海,国府津,小田原,国府津,熱海,平塚,小田原,小田原
,6,6,6,6,6,6,6,6,6,6
19,普通,普通,普通,普通,普通,普通,普通,普通,,
,01,09,16,25,31,37,45,54,,
,熱海,平塚,伊東,小田原,国府津,熱海,沼津,熱海,,
,6,6,6,6,6,6,6,6,,
20,普通,普通,普通,普通,普通,普通,普通,,,
,01,08,15,25,31,41,55,,,
,小田原,小田原,小田原,小田原,沼津,小田原,熱海,,,
,6,6,6,6,6,6,6,,,
21,普通,普通,普通,普通,普通,普通,,,,
,01,12,24,31,42,51,,,,
,小田原,熱海,平塚,伊東,平塚,沼津,,,,
,6,6,6,6,6,6,,,,
22,普通,普通,特急サンライズ出雲・瀬戸,普通,普通,普通,普通,,,
,01,10,15,24,30,41,51,,,
,小田原,国府津,出雲市・高松,熱海,国府津,平塚,沼津,,,
,6,6,6,6,6,6,6,,,
23,普通,普通,普通,普通,普通,普通,,,,
,01,10,24,30,40,49,,,,
,小田原,国府津,熱海,平塚,小田原,国府津,,,,
,6,6,6,6,6,6,,,,
0,普通,普通,普通,普通,,,,,,
,00,07,15,24,,,,,,
,国府津,小田原,国府津,平塚,,,,,,
,6,6,6,6,,,,,,
