Aダイヤ 横浜駅 下り時刻表,,,,,,,,,,,,,,
5,普通,普通,,,,,,,,,,,,
,25,53,,,,,,,,,,,,
,高崎,高崎,,,,,,,,,,,,
,7,7,,,,,,,,,,,,
6,普通,普通,サンライズ出雲,サンライズ瀬戸,普通,普通,,,,,,,,
,15,39,45,45,50,59,,,,,,,,
,宇都宮,宇都宮,東京,東京,高崎,小金井,,,,,,,,
,7,7,7,7,7,8,,,,,,,,
7,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,
,06,13,18,22,26,30,34,38,42,46,50,54,58,
,宇都宮,高崎,宇都宮,籠原,上野,宇都宮,上野,籠原,上野,小金井,上野,高崎,宇都宮,
,7,8,7,8,7,8,7,8,7,8,7,8,7,
8,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,02,06,10,13,17,20,24,27,30,34,39,45,51,57
,上野,高崎,宇都宮,上野,小金井,上野,籠原,上野,古河,籠原,宇都宮,上野,高崎,上野
,8,7,8,7,8,7,8,7,8,7,8,7,8,7
9,普通,普通,普通,普通,普通,普通,普通,,,,,,,
,03,09,17,24,31,40,51,,,,,,,
,小金井,高崎,小金井,高崎,宇都宮,高崎,小金井,,,,,,,
,7,7,8,7,7,7,7,,,,,,,
10,普通,普通,普通,普通,普通,普通,,,,,,,,
,02,12,22,32,42,52,,,,,,,,
,宇都宮,高崎,小金井,籠原,宇都宮,高崎,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
11,普通,普通,普通,普通,普通,普通,,,,,,,,
,02,12,22,32,42,52,,,,,,,,
,古河,高崎,小金井,籠原,宇都宮,高崎,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
12,普通,普通,普通,特急踊り子,普通,普通,普通,,,,,,,
,02,12,21,24,32,42,52,,,,,,,
,古河,高崎,小金井,東京,籠原,宇都宮,高崎,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
13,普通,普通,普通,普通,普通,普通,,,,,,,,
,02,12,22,32,42,52,,,,,,,,
,古河,高崎,宇都宮,籠原,宇都宮,高崎,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
14,普通,普通,普通,特急踊り子,普通,普通,普通,,,,,,,
,02,12,22,26,32,42,52,,,,,,,
,古河,高崎,小金井,東京,籠原,小金井,高崎,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
15,普通,普通,普通,特急踊り子,普通,普通,普通,,,,,,,
,02,12,22,27,32,42,52,,,,,,,
,古河,高崎,小金井,東京,高崎,宇都宮,籠原,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
16,普通,普通,普通,特急ｻﾌｨｰﾙ踊り子,普通,普通,普通,,,,,,,
,02,12,22,28,32,42,52,,,,,,,
,宇都宮,高崎,宇都宮,東京,高崎,小金井,籠原,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
17,普通,普通,普通,普通,特急踊り子,普通,普通,普通,普通,,,,,
,02,09,15,21,25,33,40,48,54,,,,,
,古河,高崎,宇都宮,小金井,東京,高崎,古河,籠原,小金井,,,,,
,7,7,7,7,7,7,7,7,7,,,,,
18,普通,普通,普通,普通,普通,普通,,,,,,,,
,05,13,20,31,43,47,,,,,,,,
,高崎,宇都宮,籠原,小金井,高崎,宇都宮,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
19,普通,普通,普通,普通,普通,普通,普通,,,,,,,
,00,05,12,20,30,39,50,,,,,,,
,高崎,古河,籠原,小金井,籠原,宇都宮,高崎,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
20,普通,普通,普通,普通,普通,普通,,,,,,,,
,01,11,21,32,41,51,,,,,,,,
,宇都宮,高崎,小金井,籠原,宇都宮,高崎,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
21,普通,普通,普通,普通,普通,普通,,,,,,,,
,02,12,19,32,42,53,,,,,,,,
,小金井,高崎,宇都宮,籠原,前橋,小金井,,,,,,,,
,7,7,7,7,7,7,,,,,,,,
22,普通,普通,普通,普通,普通,普通,普通,,,,,,,
,03,15,21,31,41,50,59,,,,,,,
,籠原,宇都宮,籠原,東京,宇都宮,東京,東京,,,,,,,
,7,7,7,7,7,7,7,,,,,,,
23,普通,普通,普通,普通,,,,,,,,,,
,10,22,37,50,,,,,,,,,,
,東京,東京,品川,品川,,,,,,,,,,
,7,7,7,7,,,,,,,,,,
0,普通,,,,,,,,,,,,,
,07,,,,,,,,,,,,,
,品川,,,,,,,,,,,,,
,7,,,,,,,,,,,,,
