Aダイヤ 横浜駅 上り時刻表,,,,,,,,,,,,,,,,
5,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,,,,,,,,,,,,,
,22,39,44,,,,,,,,,,,,,
,東京,成田空港,成田空港,,,,,,,,,,,,,
,10,10,10,,,,,,,,,,,,,
6,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,普通,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,,,,,,,
,03,18,22,26,33,45,48,52,56,,,,,,,
,千葉,君津,成田空港,高崎,津田沼,君津,宇都宮,津田沼,成田空港,,,,,,,
,10,10,10,10,10,10,10,10,10,,,,,,,
7,普通,快速,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,快速,普通,普通,普通,普通,快速,普通,普通
,01,04,07,13,17,21,24,29,33,37,41,44,48,51,53,58
,千葉,籠原,東京,千葉,成田空港,千葉,小金井,君津,高崎,成田空港,宇都宮,千葉,津田沼,籠原,千葉,千葉
,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
8,普通,普通,快速,普通,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,快速,普通,普通,快速,普通,,,
,03,06,09,13,18,20,26,30,35,38,43,48,52,,,
,小金井,千葉,高崎,上総一ノ宮,小金井,君津,成田空港,千葉,宇都宮,津田沼,成田空港,籠原,東京,,,
,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
9,普通,普通,普通,普通,普通,普通,特急成田ｴｸｽﾌﾟﾚｽ,普通,特別快速,普通,普通,普通,快速,,,
,01,04,10,16,19,22,28,33,37,40,46,54,57,,,
,千葉,宇都宮,上総一ノ宮,津田沼,古河,君津,成田空港,千葉,高崎,成田空港,東京,東京,宇都宮,,,
,10,10,10,10,10,10,10,10,10,10,10,10,10,,,
10,普通,普通,普通,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,特別快速,普通,,,,,,
,04,10,15,19,23,28,35,42,49,54,,,,,,
,津田沼,小金井,千葉,籠原,君津,成田空港,宇都宮,成田空港,高崎,千葉,,,,,,
,10,10,10,10,10,10,10,10,10,10,,,,,,
11,普通,普通,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,特別快速,普通,,,,,,,
,03,10,16,24,28,33,42,49,54,,,,,,,
,宇都宮,千葉,籠原,君津,成田空港,宇都宮,成田空港,高崎,千葉,,,,,,,
,10,10,10,10,10,10,10,10,10,,,,,,,
12,普通,普通,快速,普通,特急成田ｴｸｽﾌﾟﾚｽ,快速,普通,特別快速,普通,,,,,,,
,03,10,18,24,29,33,42,49,54,,,,,,,
,宇都宮,千葉,籠原,君津,成田空港,宇都宮,成田空港,高崎,千葉,,,,,,,
,10,10,10,10,10,10,10,10,10,,,,,,,
