Aダイヤ 東京駅 下り時刻表,,,,
6,とき,たにがわ,,
,8,36,,
,新潟,越後湯沢,,
,21,23,,
7,とき,たにがわ471号,とき,
,4,36,48,
,新潟,高崎,新潟,
,22,22,20,
8,たにがわ,とき,とき,
,3,22,52,
,越後湯沢,新潟,新潟,
,20,22,22,
9,とき,とき,,
,12,28,,
,新潟,新潟,,
,23,23,,
10,とき,とき,,
,15,41,,
,新潟,新潟,,
,21,22,,
11,とき,,,
,40,,,
,新潟,,,
,20,,,
12,とき,,,
,40,,,
,新潟,,,
,21,,,
13,とき,,,
,40,,,
,新潟,,,
,23,,,
14,とき,,,
,40,,,
,新潟,,,
,22,,,
15,とき,,,
,40,,,
,新潟,,,
,20,,,
16,とき,とき,,
,16,40,,
,新潟,新潟,,
,20,21,,
17,とき,たにがわ,とき,たにがわ
,8,12,32,52
,新潟,越後湯沢,新潟,越後湯沢
,23,21,23,22
18,とき,たにがわ,たにがわ,とき
,12,16,32,52
,新潟,越後湯沢,越後湯沢,新潟
,23,20,20,21
19,たにがわ,とき,たにがわ,
,12,36,48,
,越後湯沢,新潟,越後湯沢,
,22,23,20,
20,とき,とき,,
,24,52,,
,新潟,新潟,,
,23,20,,
21,とき,たにがわ,,
,20,40,,
,新潟,新潟,,
,22,20,,
22,たにがわ,たにがわ,,
,28,40,,
,越後湯沢,高崎,,
,23,23,,
,,,,
