平日ダイヤ 福島駅 下り時刻表,,,,,,
6,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,やまびこ291,やまびこ,やまびこ293,,,
,08,38,55,,,
,仙台,盛岡,仙台,,,
,13,13,13,,,
8,やまびこ*,やまびこ*,やまびこ,,,
,14,37,52,,,
,仙台,仙台,仙台,,,
,13,13,14,,,
9,やまびこ,やまびこ*,やまびこ,,,
,15,39,50,,,
,仙台,仙台,仙台,,,
,13,13,14,,,
10,やまびこ,やまびこ,やまびこ,,,
,24,35,50,,,
,盛岡,仙台,仙台,,,
,13,14,14,,,
11,やまびこ,やまびこ,,,,
,13,37,,,,
,盛岡,仙台,,,,
,13,14,,,,
12,やまびこ*,やまびこ,やまびこ,,,
,05,17,37,,,
,仙台,盛岡,仙台,,,
,13,13,14,,,
13,やまびこ,やまびこ,,,,
,17,37,,,,
,盛岡,仙台,,,,
,13,14,,,,
14,やまびこ*,やまびこ,やまびこ,,,
,05,12,37,,,
,仙台,盛岡,仙台,,,
,13,13,14,,,
15,やまびこ,やまびこ,,,,
,17,37,,,,
,盛岡,仙台,,,,
,13,14,,,,
16,やまびこ*,やまびこ,やまびこ,,,
,05,17,37,,,
,仙台,盛岡,仙台,,,
,13,13,14,,,
17,やまびこ,やまびこ,,,,
,11,37,,,,
,盛岡,仙台,,,,
,13,14,,,,
18,やまびこ*,やまびこ,やまびこ,,,
,04,17,37,,,
,仙台,仙台,仙台,,,
,13,13,14,,,
19,やまびこ,やまびこ,やまびこ*,,,
,17,38,42,,,
,仙台,仙台,仙台,,,
,13,14,13,,,
20,やまびこ,やまびこ*,やまびこ,,,
,03,27,57,,,
,仙台,仙台,仙台,,,
,13,13,14,,,
21,やまびこ*,やまびこ,,,,
,17,55,,,,
,仙台,盛岡,,,,
,13,13,,,,
22,やまびこ,やまびこ*,,,,
,20,42,,,,
,仙台,仙台,,,,
,14,13,,,,
23,やまびこ*,,,,,
,21,,,,,
,仙台,,,,,
,13,,,,,
