平日ダイヤ 福島駅 上り時刻表,,,,,,
6,やまびこ*,やまびこ*,,,,
,33,45,,,,
,東京,東京,,,,
,12,12,,,,
7,やまびこ*,やまびこ,,,,
,16,39,,,,
,東京,東京,,,,
,12,12,,,,
8,やまびこ*,やまびこ･つばさ,やまびこ,やまびこ+,,
,00,19,36,42,,
,東京,東京,東京,東京,,
,12,14,12,12,,
9,やまびこ･つばさ,やまびこ*,やまびこ,,,
,16,23,50,,,
,東京,東京,東京,,,
,14,12,12,,,
10,やまびこ･つばさ,やまびこ,,,,
,14,43,,,,
,東京,東京,,,,
,14,12,,,,
11,やまびこ･つばさ,やまびこ+,,,,
,15,51,,,,
,東京,東京,,,,
,14,12,,,,
12,やまびこ･つばさ,やまびこ*,やまびこ+,,,
,16,23,51,,,
,東京,東京,東京,,,
,14,12,12,,,
13,やまびこ･つばさ,やまびこ+,,,,
,16,51,,,,
,東京,東京,,,,
,14,12,,,,
14,やまびこ･つばさ,やまびこ*,やまびこ+,,,
,16,23,51,,,
,東京,東京,東京,,,
,14,12,12,,,
15,やまびこ･つばさ,やまびこ+,,,,
,16,51,,,,
,東京,東京,,,,
,14,12,,,,
16,やまびこ･つばさ,やまびこ*,やまびこ+,,,
,16,23,51,,,
,東京,東京,東京,,,
,14,12,12,,,
17,やまびこ･つばさ,やまびこ･つばさ,やまびこ,,,
,02,16,51,,,
,東京,東京,東京,,,
,14,14,12,,,
18,やまびこ･つばさ,やまびこ*,,,,
,16,41,,,,
,東京,東京,,,,
,14,12,,,,
19,やまびこ･つばさ,やまびこ+,やまびこ*,,,
,16,32,51,,,
,東京,東京,東京,,,
,14,12,12,,,
20,やまびこ+,やまびこ･つばさ,,,,
,23,49,,,,
,東京,東京,,,,
,12,14,,,,
21,やまびこ*,やまびこ+,やまびこ･つばさ,,,
,00,25,56,,,
,東京,東京,東京,,,
,12,12,14,,,
22,やまびこ+,やまびこ290,,,,
,10,51,,,,
,東京,郡山,,,,
,12,12,,,,
