臨時ありダイヤ 長野駅 下り時刻表,,,
6,はくたか,,
,11,,
,金沢,,
,12,,
7,かがやき,,
,38,,
,敦賀,,
,12,,
8,はくたか,かがやき,
,5,39,
,金沢,敦賀,
,12,12,
9,はくたか,かがやき,かがやき521号
,32,40,58
,金沢,敦賀,金沢
,12,12,12
10,はくたか,かがやき,
,17,46,
,金沢,敦賀,
,12,12,
11,はくたか,かがやき,
,5,43,
,金沢,敦賀,
,12,12,
12,はくたか,はくたか,
,6,51,
,金沢,敦賀,
,12,12,
13,はくたか,,
,55,,
,敦賀,,
,12,,
14,はくたか,,
,51,,
,敦賀,,
,12,,
15,はくたか,,
,56,,
,敦賀,,
,12,,
16,はくたか,,
,52,,
,敦賀,,
,12,,
17,かがやき,,
,46,,
,敦賀,,
,12,,
18,はくたか,かがやき,
,9,49,
,金沢,敦賀,
,12,12,
19,かがやき,はくたか,
,46,50,
,敦賀,金沢,
,12,12,
20,はくたか,,
,49,,
,金沢,,
,12,,
21,かがやき,はくたか,
,17,49,
,敦賀,金沢,
,12,12,
22,かがやき,,
,25,,
,金沢,,
,12,,
