臨時ありダイヤ 長野駅 上り時刻表,,,,
6,あさま,あさま,あさま,
,2,21,44,
,東京,東京,東京,
,13,14,13,
7,かがやき,あさま,あさま,はくたか
,10,13,23,45
,東京,東京,東京,東京
,13,14,13,13
8,かがやき,あさま,はくたか,
,10,25,48,
,東京,東京,東京,
,13,14,13,
9,かがやき,あさま,はくたか,
,17,26,47,
,東京,東京,東京,
,13,14,13,
10,かがやき,はくたか,,
,14,46,,
,東京,東京,,
,13,13,,
11,かがやき,あさま,,
,12,28,,
,東京,東京,,
,13,14,,
12,はくたか,あさま,,
,26,29,,
,東京,東京,,
,13,14,,
13,はくたか,あさま,,
,23,26,,
,東京,東京,,
,13,14,,
14,はくたか,あさま,,
,26,29,,
,東京,東京,,
,13,14,,
15,はくたか,あさま,あさま,
,22,25,42,
,東京,東京,東京,
,13,14,11,
16,かがやき534,はくたか,あさま,
,11,20,25,
,東京,東京,東京,
,13,13,14,
17,かがやき,あさま,はくたか,かがやき
,5,10,37,56
,東京,東京,東京,東京
,13,14,13,13
18,かがやき536,はくたか,,
,17,25,,
,東京,東京,,
,13,13,,
19,かがやき,あさま,はくたか,
,5,9,41,
,東京,東京,東京,
,13,14,13,
20,かがやき,はくたか,,
,29,37,,
,東京,東京,,
,13,13,,
21,あさま,はくたか,,
,17,49,,
,東京,東京,,
,14,13,,
22,かがやき,,,
,11,,,
,東京,,,
,13,,,
