平日ダイヤ 仙台駅 下り時刻表,,,,,,,,
6,はやぶさ,,,,,,,
,40,,,,,,,
,新函館北斗,,,,,,,
,12,,,,,,,
7,やまびこ97号,,,,,,,
,06,,,,,,,
,盛岡,,,,,,,
,11,,,,,,,
8,やまびこ,はやぶさ,はやぶさ,,,,,
,00,05,50,,,,,
,盛岡,新函館北斗,盛岡,,,,,
,11,12,12,,,,,
9,はやぶさ,はやぶさ,はやぶさ,,,,,
,06,35,50,,,,,
,新青森,盛岡,新函館北斗,,,,,
,11,12,12,,,,,
10,はやぶさ,はやぶさ,やまびこ,,,,,
,17,41,50,,,,,
,新青森,新青森,盛岡,,,,,
,12,12,12,,,,,
11,はやぶさ,やまびこ,はやぶさ･こまち,,,,,
,07,36,55,,,,,
,新函館北斗,盛岡,新青森･秋田,,,,,
,11,11,11,,,,,
12,はやぶさ,やまびこ,はやぶさ･こまち,,,,,
,17,39,53,,,,,
,新函館北斗,盛岡,新青森･秋田,,,,,
,12,11,12,,,,,
13,やまびこ,はやぶさ･こまち,,,,,,
,38,53,,,,,,
,盛岡,新函館北斗･秋田,,,,,,
,11,12,,,,,,
14,やまびこ,はやぶさ･こまち,,,,,,
,38,53,,,,,,
,盛岡,新函館北斗･秋田,,,,,,
,11,12,,,,,,
15,やまびこ,はやぶさ･こまち,,,,,,
,39,53,,,,,,
,盛岡,新函館北斗･秋田,,,,,,
,11,12,,,,,,
16,はやぶさ,やまびこ,はやぶさ･こまち,,,,,
,19,39,53,,,,,
,新青森,盛岡,新函館北斗･秋田,,,,,
,12,12,12,,,,,
17,はやぶさ,やまびこ,はやぶさ･こまち,,,,,
,19,40,53,,,,,
,新青森,盛岡,新青森･秋田,,,,,
,11,11,12,,,,,
18,やまびこ,はやぶさ,はやぶさ･こまち,,,,,
,14,30,54,,,,,
,盛岡,盛岡,新函館北斗･秋田,,,,,
,12,11,11,,,,,
19,はやぶさ,はやぶさ･こまち,,,,,,
,30,53,,,,,,
,盛岡,新青森･秋田,,,,,,
,11,11,,,,,,
20,はやぶさ,はやぶさ･こまち,,,,,,
,30,54,,,,,,
,盛岡,新函館北斗･秋田,,,,,,
,11,12,,,,,,
21,はやぶさ,はやぶさ･こまち,,,,,,
,14,48,,,,,,
,盛岡,新青森･秋田,,,,,,
,11,12,,,,,,
22,やまびこ,,,,,,,
,21,,,,,,,
,盛岡,,,,,,,
,12,,,,,,,
