平日ダイヤ 仙台駅 上り時刻表,,,,,,,,
6,やまびこ*,やまびこ*,はやぶさ,やまびこ*,,,,
,07,23,35,50,,,,
,東京,東京,東京,東京,,,,
,13,13,13,14,,,,
7,やまびこ,はやぶさ*,やまびこ*,やまびこ,はやぶさ,,,
,11,21,34,46,53,,,
,東京,東京,東京,東京,東京,,,
,14,13,14,13,13,,,
8,やまびこ,はやぶさ･こまち,やまびこ+,やまびこ,はやぶさ*,はやぶさ･こまち,,
,07,17,20,40,44,57,,
,東京,東京,東京,東京,東京,東京,,
,14,13,14,14,13,13,,
9,やまびこ*,はやぶさ*,やまびこ,はやぶさ･こまち,やまびこ,,,
,00,22,25,31,41,,,
,東京,東京,東京,東京,東京,,,
,14,13,12,13,14,,,
10,やまびこ,はやぶさ*,はやぶさ･こまち,やまびこ,,,,
,14,22,31,44,,,,
,東京,東京,東京,東京,,,,
,13,13,13,14,,,,
11,やまびこ+,はやぶさ･こまち,やまびこ,,,,,
,25,31,44,,,,,
,東京,東京,東京,,,,,
,13,13,14,,,,,
12,やまびこ*,やまびこ+,はやぶさ･こまち,やまびこ,,,,
,01,25,31,44,,,,
,東京,東京,東京,東京,,,,
,14,13,13,13,,,,
13,やまびこ+,はやぶさ･こまち,やまびこ,,,,,
,25,31,44,,,,,
,東京,東京,東京,,,,,
,13,13,14,,,,,
14,やまびこ*,やまびこ+,はやぶさ･こまち,やまびこ,はやぶさ,,,
,00,25,31,44,57,,,
,東京,東京,東京,東京,東京,,,
,14,13,13,14,13,,,
15,やまびこ+,はやぶさ･こまち,やまびこ,はやぶさ,,,,
,25,31,44,57,,,,
,東京,東京,東京,東京,,,,
,13,13,14,13,,,,
16,やまびこ*,やまびこ+,はやぶさ･こまち,やまびこ,やまびこ,,,
,01,25,31,34,44,,,
,東京,東京,東京,東京,東京,,,
,14,13,13,14,14,,,
17,はやぶさ*,やまびこ,はやぶさ･こまち,やまびこ,,,,
,22,25,32,43,,,,
,東京,東京,東京,東京,,,,
,13,12,13,14,,,,
18,やまびこ*,はやぶさ*,はやぶさ･こまち,やまびこ,はやぶさ･こまち,,,
,12,22,31,44,57,,,
,東京,東京,東京,東京,東京,,,
,13,13,13,14,13,,,
19,やまびこ+,やまびこ*,はやぶさ･こまち,はやぶさ,,,,
,11,20,31,54,,,,
,東京,東京,東京,東京,,,,
,14,13,13,13,,,,
20,やまびこ+,はやぶさ･こまち,やまびこ*,やまびこ+,,,,
,01,31,34,55,,,,
,東京,東京,東京,東京,,,,
,13,13,14,13,,,,
21,はやぶさ･こまち,やまびこ+,,,,,,
,31,49,,,,,,
,東京,東京,,,,,,
,13,13,,,,,,
22,やまびこ290号,,,,,,,
,25,,,,,,,
,郡山,,,,,,,
,14,,,,,,,
