平日ダイヤ 高崎駅 上り時刻表,,,,,,,
6,たにがわ470,たにがわ472,たにがわ,あさま,たにがわ474,,
,16,32,38,50,53,,
,東京,東京,東京,東京,東京,,
,13,13,13,14,13,,
7,あさま,とき,たにがわ476,あさま,たにがわ,とき,
,04,13,22,35,39,49,
,東京,東京,東京,東京,東京,東京,
,14,13,13,14,13,14,
8,あさま,とき,あさま,たにがわ,はくたか,とき,
,00,04,14,17,33,39,
,東京,東京,東京,東京,東京,東京,
,14,13,14,13,14,13,
9,とき,あさま,はくたか,とき,たにがわ,,
,12,15,35,38,55,,
,東京,東京,東京,東京,東京,,
,13,14,14,13,13,,
10,あさま,とき,,,,,
,20,39,,,,,
,東京,東京,,,,,
,14,13,,,,,
11,たにがわ,はくたか,とき,,,,
,04,33,37,,,,
,東京,東京,東京,,,,
,13,14,13,,,,
12,たにがわ,あさま,とき,,,,
,04,20,40,,,,
,東京,東京,東京,,,,
,13,14,13,,,,
13,はくたか,あさま,とき,,,,
,04,16,41,,,,
,東京,東京,東京,,,,
,14,14,13,,,,
14,はくたか,あさま,とき,,,,
,04,16,41,,,,
,東京,東京,東京,,,,
,14,14,13,,,,
15,はくたか,あさま,とき,,,,
,03,16,41,,,,
,東京,東京,東京,,,,
,14,14,13,,,,
16,はくたか,あさま,たにがわ,あさま,とき,,
,03,16,28,39,42,,
,東京,東京,東京,東京,東京,,
,14,14,13,14,13,,
17,はくたか,あさま,とき,,,,
,05,16,44,,,,
,東京,東京,東京,,,,
,14,14,13,,,,
18,あさま,とき,はくたか,とき,,,
,01,04,25,40,,,
,東京,東京,東京,東京,,,
,14,13,14,13,,,
19,とき,はくたか,たにがわ,,,,
,00,13,44,,,,
,東京,東京,東京,,,,
,13,14,14,,,,
20,あさま,とき,はくたか,とき,,,
,00,09,28,56,,,
,東京,東京,東京,東京,,,
,14,13,14,13,,,
21,はくたか,とき,,,,,
,25,41,,,,,
,東京,東京,,,,,
,14,13,,,,,
22,あさま,はくたか,とき,,,,
,11,36,53,,,,
,東京,東京,東京,,,,
,14,14,13,,,,
