青函通常ダイヤ 宇都宮駅 下り時刻表,,,,,
6,やまびこ,,,,
,53,,,,
,盛岡,,,,
,1,,,,
7,つばさ,やまびこ*,やまびこ*,なすの,
,01,18,36,54,
,新庄,仙台,仙台,那須塩原,
,1,1,1,1,
8,やまびこ･つばさ,やまびこ,やまびこ*,,
,03,29,43,,
,仙台･新庄,仙台,仙台,,
,1,1,1,,
9,やまびこ･つばさ,なすの,やまびこ,やまびこ･つばさ,
,04,19,36,45,
,仙台･山形,郡山,盛岡,仙台･山形,
,1,1,1,1,
10,なすの,やまびこ,やまびこ･つばさ,,
,13,31,51,,
,郡山,盛岡,仙台･新庄,,
,1,1,1,,
11,やまびこ*,やまびこ,やまびこ･つばさ,,
,06,30,49,,
,仙台,盛岡,仙台･山形,,
,1,1,1,,
12,なすの,やまびこ,やまびこ･つばさ,,
,07,30,49,,
,郡山,盛岡,仙台･新庄,,
,1,1,1,,
13,やまびこ*,やまびこ,やまびこ･つばさ,,
,07,30,49,,
,仙台,盛岡,仙台･山形,,
,1,1,1,,
14,なすの,やまびこ,やまびこ･つばさ,,
,07,30,49,,
,郡山,盛岡,仙台･新庄,,
,1,1,1,,
15,やまびこ*,やまびこ,やまびこ･つばさ,,
,07,30,49,,
,仙台,盛岡,仙台･山形,,
,1,1,1,,
16,なすの,やまびこ,やまびこ･つばさ,,
,07,29,49,,
,郡山,盛岡,仙台･新庄,,
,1,1,1,,
17,やまびこ*,やまびこ,やまびこ･つばさ,,
,07,30,49,,
,仙台,仙台,仙台･山形,,
,1,1,1,,
18,なすの,やまびこ,やまびこ*,やまびこ･つばさ,
,11,17,32,49,
,那須塩原,仙台,仙台,仙台･山形,
,1,1,1,1,
19,なすの,やまびこ,やまびこ*,なすの,
,05,17,31,54,
,那須塩原,仙台,仙台,那須塩原,
,1,1,1,1,
20,やまびこ･つばさ,やまびこ*,なすの,,
,08,25,53,,
,仙台･新庄,仙台,那須塩原,,
,1,1,1,,
21,やまびこ,なすの,やまびこ･つばさ,やまびこ*,
,10,23,33,49,
,盛岡,那須塩原,仙台･山形,仙台,
,1,1,1,1,
22,なすの,やまびこ*,なすの,,
,21,34,53,,
,那須塩原,仙台,那須塩原,,
,1,1,1,,
23,なすの,なすの,,,
,10,38,,,
,那須塩原,那須塩原,,,
,1,1,,,
