﻿青函通常ダイヤ 宇都宮駅 上り時刻表,,,,,,
6,なすの,なすの,なすの,,,
,27,39,51,,,
,東京,東京,東京,,,
,4,4,4,,,
7,なすの,なすの,やまびこ*,なすの,やまびこ*,なすの
,03,10,22,33,40,52
,東京,東京,東京,東京,東京,東京
,4,4,4,4,4,4
8,やまびこ*,やまびこ･つばさ,なすの,,,
,11,23,33,,,
,東京,東京,東京,,,
,4,4,4,,,
9,やまびこ*,やまびこ,やまびこ,やまびこ･つばさ,,
,06,18,36,58,,
,東京,東京,東京,東京,,
,4,4,4,4,,
10,なすの,やまびこ*,やまびこ,やまびこ･つばさ,,
,12,22,35,58,,
,東京,東京,東京,東京,,
,4,4,4,4,,
11,なすの,やまびこ,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
12,なすの,やまびこ+,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
13,やまびこ*,やまびこ+,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
14,なすの,やまびこ+,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
15,やまびこ*,やまびこ+,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
16,なすの,やまびこ+,やまびこ･つばさ,,,
,21,35,58,,,
,東京,東京,東京,,,
,4,4,4,,,
17,なすの,やまびこ*,やまびこ+,やまびこ･つばさ,やまびこ･つばさ,
,04,21,35,47,59,
,東京,東京,東京,東京,東京,
,4,4,4,4,4,
18,なすの,やまびこ,やまびこ･つばさ,,,
,21,37,58,,,
,東京,東京,東京,,,
,4,4,4,,,
19,なすの,やまびこ*,やまびこ･つばさ,,,
,22,50,59,,,
,東京,東京,東京,,,
,4,4,4,,,
20,やまびこ+,やまびこ*,,,,
,23,47,,,,
,東京,東京,,,,
,4,4,,,,
21,やまびこ+,やまびこ･つばさ,やまびこ*,,,
,10,35,54,,,
,東京,東京,東京,,,
,4,4,4,,,
22,やまびこ+,つばさ,やまびこ+,,,
,27,38,54,,,
,東京,東京,東京,,,
,4,4,4,,,
