Aダイヤ 仙台駅 上り時刻表,,,,,,,
5,普通,,,,,,
,20,,,,,,
,石巻,,,,,,
,10,,,,,,
6,普通,普通,普通,普通,,,
,01,30,40,55,,,
,高城町,石巻,東塩釜,高城町,,,
,10,10,10,10,,,
7,普通,普通,普通,普通,普通,普通,
,02,12,23,33,43,53,
,東塩釜,東塩釜,東塩釜,石巻,多賀城,松島海岸,
,10,10,10,10,10,10,
8,普通,普通,普通,普通,普通,普通,普通
,03,10,16,22,29,36,50
,東塩釜,多賀城,石巻,東塩釜,東塩釜,多賀城,東塩釜
,10,10,10,10,10,10,10
9,普通,普通,普通,普通,普通,普通,普通
,00,10,22,30,40,50,58
,高城町,東塩釜,多賀城,石巻,多賀城,東塩釜,高城町
,10,10,10,10,10,10,10
10,普通,普通,普通,普通,普通,,
,10,20,30,40,50,,
,松島海岸,多賀城,高城町,多賀城,松島海岸,,
,10,10,10,10,10,,
11,普通,普通,普通,普通,普通,普通,
,00,10,20,30,40,50,
,多賀城,石巻,多賀城,高城町,多賀城,高城町,
,10,10,10,10,10,10,
12,普通,普通,普通,普通,普通,,
,00,10,20,30,45,,
,多賀城,松島海岸,多賀城,石巻,高城町,,
,10,10,10,10,10,,
13,普通,普通,普通,普通,普通,,
,00,10,20,30,50,,
,多賀城,松島海岸,多賀城,高城町,高城町,,
,10,10,10,10,10,,
14,普通,普通,普通,普通,,,
,10,20,30,49,,,
,松島海岸,多賀城,石巻,高城町,,,
,10,10,10,10,,,
15,普通,普通,普通,普通,,,
,09,22,35,50,,,
,松島海岸,石巻,東塩釜,高城町,,,
,10,10,10,10,,,
16,普通,普通,普通,普通,普通,,
,05,17,28,41,51,,
,東塩釜,石巻,東塩釜,東塩釜,高城町,,
,10,10,10,10,10,,
17,普通,普通,普通,普通,普通,普通,普通
,02,12,22,31,41,48,59
,東塩釜,東塩釜,石巻,東塩釜,東塩釜,高城町,東塩釜
,10,10,10,10,10,10,10
18,普通,普通,普通,普通,普通,普通,
,10,21,30,37,47,55,
,東塩釜,石巻,東塩釜,東塩釜,東塩釜,高城町,
,10,10,10,10,10,10,
19,普通,普通,普通,普通,普通,普通,
,06,16,27,38,49,57,
,東塩釜,東塩釜,東塩釜,東塩釜,石巻,東塩釜,
,10,10,10,10,10,10,
20,普通,普通,普通,普通,普通,,
,10,20,31,43,56,,
,高城町,東塩釜,東塩釜,東塩釜,石巻,,
,10,10,10,10,10,,
21,普通,普通,普通,普通,,,
,10,26,42,58,,,
,東塩釜,東塩釜,東塩釜,石巻,,,
,10,10,10,10,,,
22,普通,普通,普通,,,,
,14,30,52,,,,
,東塩釜,東塩釜,石巻,,,,
,10,10,10,,,,
23,普通,普通,,,,,
,15,39,,,,,
,東塩釜,東塩釜,,,,,
,10,10,,,,,
0,普通,,,,,,
,02,,,,,,
,東塩釜,,,,,,
,10,,,,,,
