Aダイヤ 仙台駅 下り時刻表,,,,,,
6,普通,普通,快速,普通,普通,
,00,15,26,35,44,
,一ノ関,利府,石巻,利府,小牛田,
,4,4,1,4,2,
7,普通,普通,快速,普通,普通,
,00,09,24,28,54,
,利府,小牛田,石巻,利府,小牛田,
,2,2,1,2,1,
8,普通,普通,快速,普通,普通,
,05,11,20,28,52,
,利府,小牛田,石巻,利府,利府,
,1,2,2,1,2,
9,普通,特別快速,普通,普通,,
,02,25,29,48,,
,小牛田,石巻,利府,小牛田,,
,1,4,1,2,,
10,普通,快速,普通,,,
,01,18,44,,,
,利府,石巻,小牛田,,,
,2,1,1,,,
11,普通,普通,,,,
,10,47,,,,
,松島,小牛田,,,,
,2,1,,,,
12,快速,普通,,,,
,16,45,,,,
,石巻,小牛田,,,,
,1,2,,,,
13,快速,普通,,,,
,13,39,,,,
,石巻,小牛田,,,,
,2,1,,,,
14,普通,快速,普通,,,
,03,16,34,,,
,松島,石巻,小牛田,,,
,2,2,4,,,
15,普通,快速,普通,普通,,
,00,17,35,59,,
,松島,石巻,小牛田,小牛田,,
,2,1,2,1,,
16,快速,普通,普通,普通,普通,
,15,24,32,41,54,
,石巻,小牛田,利府,小牛田,松島,
,2,2,1,2,1,
17,普通,快速,普通,普通,普通,普通
,09,15,22,32,42,52
,利府,石巻,小牛田,利府,松島,小牛田
,1,4,1,1,2,1
18,普通,快速,普通,普通,普通,普通
,07,22,30,36,44,54
,利府,石巻,石越,利府,松島,小牛田
,1,2,4,2,1,2
19,普通,普通,快速,普通,普通,
,06,18,30,37,46,
,利府,小牛田,石巻,利府,小牛田,
,4,2,1,4,2,
20,普通,普通,普通,快速,,
,09,25,38,47,,
,一ノ関,利府,小牛田,女川,,
,4,2,1,4,,
21,普通,普通,普通,,,
,09,28,41,,,
,一ノ関,利府,松島,,,
,1,1,2,,,
22,普通,普通,普通,,,
,00,25,37,,,
,小牛田,利府,石越,,,
,4,2,1,,,
23,普通,普通,,,,
,05,29,,,,
,利府,小牛田,,,,
,2,1,,,,
0,普通,,,,,
,02,,,,,
,松島,,,,,
,4,,,,,
