Aダイヤ 仙台駅 上り時刻表,,,,,,,,,,
5,普通,普通,,,,,,,,
,30,45,,,,,,,,
,原ノ町,仙台空港,,,,,,,,
,6,3,,,,,,,,
6,普通,普通,普通,普通,普通,普通,,,,
,00,16,27,31,42,50,,,,
,福島,仙台空港,白石,原ノ町,仙台空港,岩沼,,,,
,5,3,5,6,3,4,,,,
7,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,01,08,13,18,25,30,35,40,45,53
,福島,仙台空港,大河原,原ノ町,白石,岩沼,仙台空港,岩沼,福島,梁川
,6,3,4,6,4,5,3,6,4,5
8,普通,普通,普通,普通,普通,普通,普通,特急ひたち,普通,普通
,02,07,12,19,25,31,41,48,54,58
,仙台空港,岩沼,原ノ町,白石,岩沼,仙台空港,岩沼,品川,仙台空港,原ノ町
,3,5,6,5,3,4,5,6,3,4
9,普通,普通,普通,普通,普通,普通,,,,
,05,16,25,30,34,50,,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,,,,
,6,3,5,3,6,3,,,,
10,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,36,50,,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,,,,
,5,3,5,3,6,3,,,,
11,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,40,50,,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,,,,
,5,3,4,3,6,3,,,,
12,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,40,50,,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,,,,
,6,3,5,4,6,3,,,,
13,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,40,50,,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,,,,
,4,3,5,3,6,3,,,,
14,普通,普通,特急ひたち,普通,普通,普通,快速,,,
,00,10,16,20,30,40,50,,,
,白石,仙台空港,品川,白石,仙台空港,原ノ町,仙台空港,,,
,5,3,6,5,3,6,3,,,
15,普通,普通,普通,普通,普通,普通,普通,,,
,00,10,20,30,34,50,56,,,
,白石,仙台空港,白石,仙台空港,原ノ町,仙台空港,福島,,,
,5,3,5,3,6,3,5,,,
16,普通,普通,普通,普通,普通,普通,,,,
,10,16,22,30,35,50,,,,
,仙台空港,原ノ町,白石,仙台空港,新地,仙台空港,,,,
,3,4,5,3,6,3,,,,
17,普通,普通,普通,普通,普通,普通,普通,普通,,
,00,08,15,21,30,40,45,52,,
,福島,原ノ町,大河原,仙台空港,原ノ町,岩沼,仙台空港,白石,,
,6,5,6,3,5,4,3,4,,
18,特急ひたち,普通,普通,普通,普通,普通,普通,普通,普通,
,02,06,11,16,21,30,40,45,50,
,品川,福島,原ノ町,仙台空港,梁川,白石,原ノ町,仙台空港,岩沼,
,6,5,6,3,5,5,6,3,6,
19,普通,普通,普通,普通,普通,普通,普通,普通,,
,00,10,15,20,30,40,45,50,,
,福島,原ノ町,仙台空港,岩沼,白石,原ノ町,仙台空港,岩沼,,
,5,6,3,4,5,6,3,4,,
20,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,40,50,,,,
,福島,原ノ町,仙台空港,白石,原ノ町,仙台空港,,,,
,5,6,3,5,6,3,,,,
21,普通,普通,普通,普通,普通,普通,,,,
,00,10,20,30,40,50,,,,
,福島,原ノ町,仙台空港,白石,新地,仙台空港,,,,
,5,6,3,5,6,3,,,,
22,普通,普通,普通,普通,普通,,,,,
,00,20,30,40,55,,,,,
,福島,仙台空港,白石,原ノ町,岩沼,,,,,
,5,3,5,6,4,,,,,
23,普通,普通,普通,普通,,,,,,
,10,20,32,47,,,,,,
,仙台空港,白石,山下,岩沼,,,,,,
,3,5,6,3,,,,,,
0,普通,,,,,,,,,
,02,,,,,,,,,
,白石,,,,,,,,,
,6,,,,,,,,,
