全日 札幌駅 上り時刻表,,,,,,,,,,,
5,快速エアポート,,,,,,,,,,
,50,,,,,,,,,,
,新千歳空港,,,,,,,,,,
,6,,,,,,,,,,
6,特急,普通,普通,快速エアポート,普通,快速エアポート,普通,快速エアポート,特急,特急,特別快速エアポート
,0,2,8,16,21,29,34,42,48,52,57
,函館,新千歳空港,苫小牧,新千歳空港,東室蘭,新千歳空港,苫小牧,新千歳空港,釧路,函館,新千歳空港
,4,6,10,6,5,6,3,5,4,6,5
7,普通,快速エアポート,普通,快速エアポート,特急,快速エアポート,特急,快速エアポート,普通,特急,
,0,7,15,21,30,34,43,48,51,58,
,苫小牧,新千歳空港,千歳,新千歳空港,東室蘭,新千歳空港,函館,新千歳空港,苫小牧,帯広,
,7,6,8,5,6,5,4,6,7,8,
8,特別快速エアポート,快速エアポート,普通,快速エアポート,普通,快速エアポート,特急,快速エアポート,特急,,
,2,8,11,21,26,34,43,48,52,,
,新千歳空港,新千歳空港,千歳,新千歳空港,苫小牧,新千歳空港,函館,新千歳空港,釧路,,
,6,5,4,6,9,6,7,6,8,,
9,快速エアポート,区間快速エアポート,普通,快速エアポート,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,,
,0,4,10,19,30,34,37,44,49,,
,新千歳空港,新千歳空港,北広島,新千歳空港,新千歳空港,新千歳空港,北広島,函館,新千歳空港,,
,6,5,8,6,5,6,9,7,5,,
10,快速エアポート,区間快速エアポート,普通,快速エアポート,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,特急,
,0,3,6,18,30,34,37,45,48,56,
,新千歳空港,新千歳空港,北広島,新千歳空港,新千歳空港,新千歳空港,北広島,帯広,新千歳空港,函館,
,5,6,8,5,5,6,10,5,6,8,
11,快速エアポート,区間快速エアポート,普通,快速エアポート,特急,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,
,0,4,11,19,24,30,34,37,45,49,
,新千歳空港,新千歳空港,北広島,新千歳空港,室蘭,新千歳空港,新千歳空港,北広島,釧路,新千歳空港,
,5,6,4,5,7,5,6,9,8,5,
12,快速エアポート,区間快速エアポート,特急,普通,快速エアポート,特別快速エアポート,区間快速エアポート,普通,快速エアポート,,
,0,4,9,11,19,30,34,38,49,,
,新千歳空港,新千歳空港,函館,北広島,新千歳空港,新千歳空港,新千歳空港,北広島,新千歳空港,,
,5,6,8,7,5,5,6,9,5,,
13,快速エアポート,区間快速エアポート,普通,快速エアポート,特急,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,特急
,0,4,10,19,26,30,34,37,46,49,55
,新千歳空港,新千歳空港,北広島,新千歳空港,函館,新千歳空港,新千歳空港,北広島,室蘭,新千歳空港,釧路
,5,6,7,5,8,5,6,7,9,5,8
14,快速エアポート,区間快速エアポート,普通,快速エアポート,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,,
,0,3,10,18,30,34,37,45,49,,
,新千歳空港,新千歳空港,北広島,新千歳空港,新千歳空港,新千歳空港,北広島,函館,新千歳空港,,
,6,5,6,5,6,5,7,8,6,,
15,快速エアポート,区間快速エアポート,普通,快速エアポート,特別快速エアポート,区間快速エアポート,普通,特急,快速エアポート,特急,
,0,3,8,18,30,33,36,45,48,51,
,新千歳空港,新千歳空港,北広島,新千歳空港,新千歳空港,新千歳空港,千歳,函館,新千歳空港,帯広,
,6,5,4,6,5,6,7,8,5,7,
16,快速エアポート,特急,快速エアポート,普通,快速エアポート,快速エアポート,普通,快速エアポート,特急,,
,0,6,11,16,23,35,42,48,51,,
,新千歳空港,室蘭,新千歳空港,苫小牧,新千歳空港,新千歳空港,千歳,新千歳空港,函館,,
,5,7,5,8,6,6,7,6,8,,
17,快速エアポート,普通,快速エアポート,普通,快速エアポート,特急,快速エアポート,普通,快速エアポート,,
,0,3,11,14,22,26,36,39,48,,
,新千歳空港,苫小牧,新千歳空港,千歳,新千歳空港,釧路,新千歳空港,千歳,新千歳空港,,
,6,9,6,7,6,8,6,7,6,,
18,快速エアポート,普通,快速エアポート,快速エアポート,普通,快速エアポート,特急,特急,快速エアポート,普通,
,0,2,12,24,26,37,40,47,49,53,
,新千歳空港,苫小牧,新千歳空港,新千歳空港,千歳,新千歳空港,帯広,函館,新千歳空港,苫小牧,
,5,9,5,6,8,5,6,8,5,7,
19,快速エアポート,快速エアポート,特急,普通,快速エアポート,快速エアポート,特急,普通,快速エアポート,,
,0,11,14,16,24,36,39,42,50,,
,新千歳空港,新千歳空港,室蘭,千歳,新千歳空港,新千歳空港,釧路,苫小牧,新千歳空港,,
,6,6,8,5,6,6,5,10,5,,
20,快速エアポート,普通,快速エアポート,普通,普通,快速エアポート,普通,,,,
,4,10,18,24,36,47,53,,,,
,新千歳空港,新千歳空港,新千歳空港,新千歳空港,苫小牧,新千歳空港,新千歳空港,,,,
,6,7,6,7,7,6,4,,,,
21,快速エアポート,特急,普通,普通,普通,普通,,,,,
,0,6,14,27,37,51,,,,,
,新千歳空港,帯広,新千歳空港,苫小牧,新千歳空港,新千歳空港,,,,,
,5,7,6,9,6,7,,,,,
22,特急,普通,普通,普通,普通,,,,,,
,0,7,7,25,48,,,,,,
,室蘭,千歳,苫小牧,新千歳空港,苫小牧,,,,,,
,7,5,5,6,9,,,,,,
23,普通,普通,普通,,,,,,,,
,9,34,59,,,,,,,,
,苫小牧,千歳,千歳,,,,,,,,
,9,6,5,,,,,,,,
