全日 札幌駅 下り時刻表,,,,,,,,,,,,
6,普通,普通,特急ライラック,普通,特急オホーツク,普通,,,,,,
,00,16,29,35,52,57,,,,,,
,旭川,江別,旭川,岩見沢,網走,岩見沢,,,,,,
,7,7,9,10,10,8,,,,,,
7,普通,特急ライラック,普通,普通,普通,特急宗谷,普通,フラノラベンダーエクスプレス,普通,普通,,
,00,13,15,15,22,30,33,41,44,51,,
,苫小牧,旭川,千歳,江別,江別,稚内,岩見沢,富良野,江別,苫小牧,,
,7,9,8,10,9,7,8,9,10,7,,
8,特急ライラック,普通,普通,普通,普通,普通,普通,,,,,
,00,02,11,18,35,43,52,,,,,
,旭川,岩見沢,千歳,江別,岩見沢,岩見沢,江別,,,,,
,10,9,4,8,10,11,9,,,,,
9,特急カムイ,普通,普通,普通,特急カムイ9号,普通,普通,,,,,
,00,10,10,23,30,37,46,,,,,
,旭川,北広島,岩見沢,岩見沢,旭川,北広島,江別,,,,,
,10,8,10,8,10,9,10,,,,,
10,特急ライラック,快速,普通,普通,快速,普通,,,,,,
,00,00,07,26,30,45,,,,,,
,旭川,札幌,岩見沢,岩見沢,札幌,江別,,,,,,
,10,6,9,8,6,9,,,,,,
11,特急ライラック,快速,普通,普通,普通,,,,,,,
,00,00,06,23,45,,,,,,,
,旭川,札幌,岩見沢,岩見沢,江別,,,,,,,
,10,6,8,10,10,,,,,,,
12,快速,特急ライラック,普通,普通,快速,普通*,,,,,,
,00,00,08,27,30,45,,,,,,
,札幌,旭川,岩見沢,岩見沢,札幌,江別,,,,,,
,6,10,10,10,5,10,,,,,,
13,快速,特急カムイ,普通,普通*,快速,普通,,,,,,
,00,00,07,26,30,43,,,,,,
,札幌,旭川,岩見沢,岩見沢,札幌,江別,,,,,,
,6,9,10,10,6,10,,,,,,
14,快速,特急カムイ,普通*,普通,快速,特急ライラック,普通,普通,,,,
,00,00,07,23,30,30,37,47,,,,
,札幌,旭川,岩見沢,岩見沢,札幌,旭川,北広島,江別,,,,
,6,9,8,9,6,10,7,10,,,,
15,快速,特急ライラック,普通,普通,快速,特急オホーツク,普通*,普通,普通*,,,
,00,00,07,23,30,30,37,46,53,,,
,札幌,旭川,岩見沢,岩見沢,札幌,網走,江別,江別,江別,,,
,6,9,10,10,6,9,10,10,9,,,
16,特急ライラック,普通*,快速,普通,普通*,特急カムイ,快速,普通,普通,普通,,
,00,06,11,15,22,30,35,37,42,53,,
,旭川,岩見沢,札幌,苫小牧,江別,旭川,札幌,岩見沢,千歳,江別,,
,10,9,5,8,10,9,6,10,7,10,,
17,特急カムイ,普通,普通*,快速,普通*,普通,特急ライラック,快速,普通*,普通,普通,普通*
,00,03,05,11,14,23,30,36,38,39,46,53
,旭川,苫小牧,岩見沢,札幌,江別,江別,旭川,札幌,岩見沢,千歳,江別,岩見沢
,8,9,10,6,10,7,9,6,10,7,9,7
18,特急カムイ,普通,普通,普通*,普通*,普通,特急ライラック,普通*,普通,普通*,,
,00,02,04,14,23,26,30,38,50,53,,
,旭川,苫小牧,江別,岩見沢,江別,千歳,旭川,岩見沢,江別,苫小牧,,
,9,7,10,8,10,8,9,10,10,7,,
19,特急ライラック,普通,快速,普通*,普通,快速,普通*,普通*,,,,
,00,03,11,14,25,36,37,48,,,,
,旭川,江別,札幌,岩見沢,江別,札幌,滝川,江別,,,,
,9,10,6,9,10,6,9,6,,,,
20,特急ライラック,普通,快速,普通*,普通,普通*,普通,普通,普通*,,,
,00,03,04,11,20,30,36,40,52,,,
,旭川,江別,札幌,岩見沢,江別,江別,苫小牧,岩見沢,江別,,,
,10,9,6,10,9,10,7,10,7,,,
21,特急カムイ,普通,普通,普通,普通*,普通*,,,,,,
,00,04,14,15,34,46,,,,,,
,旭川,江別,札幌,岩見沢,岩見沢,江別,,,,,,
,9,10,6,8,10,6,,,,,,
22,特急カムイ,普通*,普通*,普通,普通*,,,,,,,
,00,11,37,48,58,,,,,,,
,旭川,岩見沢,滝川,苫小牧,岩見沢,,,,,,,
,9,7,9,9,10,,,,,,,
23,普通*,普通*,普通*,,,,,,,,,
,23,42,59,,,,,,,,,
,岩見沢,岩見沢,岩見沢,,,,,,,,,
,10,10,7,,,,,,,,,
