全日 札幌駅 上り時刻表,,,,,,,,,,
6,普通+,普通*,普通*,,,,,,,
,09,28,52,,,,,,,
,然別,小樽,小樽,,,,,,,
,2,4,2,,,,,,,
7,普通*,普通*,普通*,普通*,普通*,普通*,普通*,,,
,05,14,23,33,45,51,59,,,
,小樽,小樽,ほしみ,小樽,小樽,手稲,小樽,,,
,3,4,3,3,3,4,3,,,
8,普通*,普通*,普通*,普通*,普通*,普通*,普通*,普通*,,
,06,13,17,25,30,35,43,54,,
,小樽,手稲,小樽,小樽,手稲,手稲,小樽,手稲,,
,3,2,3,4,3,4,3,2,,
9,普通*,快速エアポート,普通,普通*,快速エアポート,普通,普通*,,,
,03,10,16,25,33,39,51,,,
,手稲,小樽,小樽,小樽,小樽,ほしみ,手稲,,,
,2,3,2,4,3,2,3,,,
10,快速エアポート,普通*,普通,特別快速エアポート,普通*,普通*,,,,
,00,06,23,30,38,52,,,,
,小樽,ほしみ,小樽,小樽,ほしみ,手稲,,,,
,4,3,3,4,3,2,,,,
11,快速エアポート,普通*,普通*,特別快速エアポート,普通,普通*,,,,
,00,07,22,30,38,52,,,,
,小樽,ほしみ,小樽,小樽,ほしみ,手稲,,,,
,3,2,2,4,3,2,,,,
12,快速エアポート,普通,普通,特別快速エアポート,普通*,普通,,,,
,00,09,24,30,39,52,,,,
,小樽,ほしみ,小樽,小樽,ほしみ,手稲,,,,
,4,3,3,4,4,2,,,,
13,快速エアポート,普通,普通,特別快速エアポート,普通,普通*,,,,
,00,07,22,30,37,52,,,,
,小樽,ほしみ,小樽,小樽,ほしみ,手稲,,,,
,4,2,2,4,2,2,,,,
14,快速エアポート,普通*,普通,特別快速エアポート,普通*,普通,,,,
,00,08,22,30,37,52,,,,
,小樽,ほしみ,小樽,小樽,ほしみ,手稲,,,,
,4,2,2,4,2,2,,,,
15,快速エアポート,普通,普通*,特別快速エアポート,普通,普通,,,,
,00,07,22,30,37,50,,,,
,小樽,小樽,小樽,小樽,小樽,手稲,,,,
,3,2,4,4,2,2,,,,
16,快速エアポート,普通*,普通,特別快速エアポート,普通*,普通*,普通,,,
,00,08,22,30,41,51,56,,,
,小樽,小樽,ほしみ,小樽,小樽,手稲,小樽,,,
,4,3,3,4,2,2,3,,,
17,普通,快速エアポート,普通*,普通*,普通*,快速エアポート,普通,快速ニセコライナー,普通*,普通*
,05,11,16,26,35,40,44,50,53,58
,小樽,小樽,ほしみ,小樽,小樽,小樽,小樽,倶知安,ほしみ,手稲
,3,4,2,3,3,4,3,2,3,4
18,普通,快速エアポート,普通*,普通*,普通,普通*,快速エアポート,普通,普通,普通*
,04,09,13,19,24,35,40,43,50,57
,小樽,小樽,手稲,ほしみ,小樽,小樽,小樽,ほしみ,小樽,手稲
,3,4,3,2,3,3,4,3,2,4
19,普通,快速エアポート,普通*,普通*,普通,快速エアポート,普通*,普通*,,
,05,12,19,25,33,40,44,54,,
,ほしみ,小樽,小樽,手稲,ほしみ,小樽,手稲,小樽,,
,4,4,3,4,3,4,3,3,,
20,普通,普通*,普通*,普通,普通*,普通,普通*,,,
,03,07,17,25,32,44,56,,,
,手稲,小樽,小樽,手稲,小樽,小樽,手稲,,,
,2,4,2,3,2,2,3,,,
21,普通*,普通*,普通*,普通*,普通*,,,,,
,05,16,30,38,50,,,,,
,小樽,小樽,小樽,小樽,手稲,,,,,
,4,2,4,3,3,,,,,
22,普通*,普通*,普通,普通*,普通,普通*,,,,
,00,09,20,30,38,53,,,,
,小樽,ほしみ,小樽,手稲,小樽,小樽,,,,
,3,2,3,4,2,4,,,,
23,普通*,普通*,普通*,普通*,普通*,,,,,
,06,22,30,50,59,,,,,
,手稲,手稲,小樽,小樽,手稲,,,,,
,4,3,4,4,3,,,,,
