Aダイヤ  札幌駅 上り時刻表,,,,
5,,,,
,,,,
,,,,
,,,,
6,普通,普通,普通,
,19,40,54,
,北海道医療大学,北海道医療大学,北海道医療大学,
,11,11,11,
7,普通,普通,普通,
,10,23,41,
,北海道医療大学,あいの里公園,北海道医療大学,
,11,11,11,
8,普通,普通,普通,普通
,1,14,29,57
,北海道医療大学,あいの里公園,北海道医療大学,北海道医療大学
,11,11,11,11
9,普通,普通,,
,25,51,,
,北海道医療大学,北海道医療大学,,
,11,11,,
10,普通,普通,,
,20,40,,
,北海道医療大学,あいの里公園,,
,11,11,,
11,普通,普通,普通,
,0,20,40,
,北海道医療大学,あいの里公園,北海道医療大学,
,11,11,11,
12,普通,普通,普通,
,0,20,40,
,あいの里公園,あいの里公園,北海道医療大学,
,11,11,11,
13,普通,普通,普通,
,0,20,40,
,あいの里公園,北海道医療大学,当別,
,11,11,11,
14,普通,普通,普通,
,0,20,40,
,北海道医療大学,北海道医療大学,北海道医療大学,
,11,11,11,
15,普通,普通,普通,
,0,20,40,
,北海道医療大学,当別,あいの里公園,
,11,11,11,
16,普通,普通,普通,
,0,20,40,
,北海道医療大学,北海道医療大学,あいの里公園,
,11,11,11,
17,普通,普通,普通,普通
,0,15,30,45
,北海道医療大学,当別,北海道医療大学,北海道医療大学
,11,11,11,11
18,普通,普通,普通,普通
,0,15,30,45
,あいの里公園,北海道医療大学,北海道医療大学,北海道医療大学
,11,11,11,11
19,普通,普通,普通,
,0,20,40,
,あいの里公園,当別,北海道医療大学,
,11,11,11,
20,普通,普通,普通,
,0,20,40,
,北海道医療大学,当別,北海道医療大学,
,11,11,11,
21,普通,普通,普通,
,0,20,40,
,北海道医療大学,あいの里公園,当別,
,11,11,11,
22,普通,普通,普通,
,0,20,40,
,北海道医療大学,当別,あいの里公園,
,11,11,11,
23,普通,普通,普通,
,8,38,59,
,当別,当別,あいの里公園,
,11,11,11,
