Aダイヤ 新函館北斗駅 下り時刻表,,,
6,普通,,
,49,,
,函館,,
,3,,
7,はこだてライナー,普通,はこだてライナー
,11,22,47
,函館,函館,函館
,3,3,1
8,はこだてライナー,普通,
,14,35,
,函館,函館,
,1,3,
9,特急北斗,快速はこだてライナー,普通
,16,20,34
,函館,函館,函館
,2,1,3
10,はこだてライナー,特急北斗,
,11,24,
,函館,函館,
,1,3,
11,快速はこだてライナー,普通,
,7,10,
,函館,函館,
,1,3,
12,特急北斗,快速はこだてライナー,普通
,20,35,42
,函館,函館,函館
,2,1,3
13,特急北斗,快速はこだてライナー,
,20,49,
,函館,函館,
,2,1,
14,特急北斗,普通,
,27,51,
,函館,函館,
,2,3,
15,快速はこだてライナー,特急北斗,
,11,53,
,函館,函館,
,1,2,
16,普通,はこだてライナー,特急北斗
,7,40,59
,函館,函館,函館
,3,1,3
17,普通,はこだてライナー,はこだてライナー
,17,30,57
,函館,函館,函館
,3,1,1
18,特急北斗,快速はこだてライナー,
,15,39,
,函館,函館,
,3,1,
19,普通,特急北斗,快速はこだてライナー
,1,14,55
,函館,函館,函館
,3,2,1
20,特急北斗,,
,24,,
,函館,,
,2,,
21,普通,はこだてライナー,
,17,53,
,函館,函館,
,3,1,
22,特急北斗,,
,15,,
,函館,,
,2,,
23,はこだてライナー,,
,38,,
,函館,,
,1,,
