Aダイヤ 博多駅 上り時刻表,,,,,,,,,,,,,
5,普通,普通,普通,普通,,,,,,,,,
,1,22,41,51,,,,,,,,,
,門司港,小倉,小倉,小倉,,,,,,,,,
,6,7,6,6,,,,,,,,,
6,普通,特急ソニック,普通,区間快速,普通,普通,区間快速,,,,,,
,3,21,23,36,40,48,55,,,,,,
,小倉,大分,海老津,小倉,海老津,福間,小倉,,,,,,
,1,2,1,5,1,4,3,,,,,,
7,特急ソニック,普通,普通,普通,特急にちりんシーガイア5,普通,快速,普通,普通,,,,
,0,3,14,25,31,38,45,52,59,,,,
,大分,門司港,門司港,門司港,宮崎空港,小倉,小倉,福間,門司港,,,,
,2,1,3,1,2,3,1,1,1,,,,
8,特急ソニック,普通,快速,普通,普通,特急ソニック,普通,普通,普通,区間快速,普通,快速,普通
,2,5,8,14,17,20,23,26,29,35,43,49,58
,大分,吉塚,門司港,福間,福間,大分,門司港,吉塚,吉塚,門司港,折尾,門司港,吉塚
,2,1,3,1,3,2,1,3,1,2,2,2,1
9,特急ソニック,普通,普通,特急ソニック,区間快速,普通,快速,,,,,,
,1,3,15,21,28,37,46,,,,,,
,大分,門司港,福間,大分,門司港,折尾,小倉,,,,,,
,2,4,2,3,2,1,3,,,,,,
10,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,9,20,22,31,40,,,,,,
,大分,福間,門司港,大分,折尾,小倉,福間,,,,,,
,3,1,2,5,3,2,1,,,,,,
11,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,10,20,25,32,41,,,,,,
,大分,福間,門司港,大分,折尾,小倉,福間,,,,,,
,3,2,3,3,1,2,1,,,,,,
12,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,10,20,22,31,43,,,,,,
,大分,福間,門司港,大分,折尾,小倉,福間,,,,,,
,3,1,2,3,1,2,1,,,,,,
13,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,10,20,23,32,42,,,,,,
,大分,福間,門司港,大分,折尾,門司港,福間,,,,,,
,3,1,2,3,1,2,1,,,,,,
14,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,11,20,24,31,42,,,,,,
,大分,福間,門司港,大分,折尾,門司港,福間,,,,,,
,3,1,2,3,1,1,1,,,,,,
15,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,,,,,,
,0,2,10,20,24,32,40,,,,,,
,大分,福間,門司港,大分,折尾,門司港,福間,,,,,,
,3,1,2,3,1,1,1,,,,,,
16,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,普通,快速,,,,,
,0,2,10,20,23,31,48,54,,,,,
,大分,福間,門司港,大分,海老津,小倉,福間,小倉,,,,,
,3,1,2,3,1,2,1,3,,,,,
17,特急ソニック,普通,区間快速,特急ソニック,普通,区間快速,特急きらめき,普通,快速,,,,
,0,6,13,20,27,32,40,44,50,,,,
,佐伯,福間,門司港,大分,海老津,門司港,小倉,福間,小倉,,,,
,2,2,1,2,2,1,2,3,2,,,,
18,特急ソニック,普通,普通,特急ソニック,普通,区間快速,特急きらめき,普通,快速,,,,
,0,2,9,20,23,29,39,42,45,,,,
,大分,門司港,福間,大分,海老津,門司港,門司港,福間,門司港,,,,
,2,4,2,2,4,1,2,1,4,,,,
19,特急ソニック,普通,普通,特急ソニック,普通,区間快速,特急きらめき,普通,快速,,,,
,0,2,10,20,23,28,40,45,50,,,,
,大分,門司港,福間,大分,海老津,小倉,門司港,福間,門司港,,,,
,2,1,1,2,1,3,2,1,2,,,,
20,特急ソニック,普通,普通,特急ソニック,区間快速,特急きらめき,普通,快速,,,,,
,0,2,11,20,28,41,44,50,,,,,
,大分,門司港,福間,大分,小倉,門司港,小倉,小倉,,,,,
,2,1,2,2,1,2,4,1,,,,,
21,特急ソニック,普通,特急きらめき,普通,快速,普通,,,,,,,
,1,14,24,30,36,51,,,,,,,
,大分,門司港,門司港,小倉,門司港,門司港,,,,,,,
,2,1,2,1,4,2,,,,,,,
22,特急ソニック,快速,普通,特急ソニック201,普通,,,,,,,,
,6,14,26,34,44,,,,,,,,
,大分,門司港,門司港,中津,赤間,,,,,,,,
,2,2,1,2,2,,,,,,,,
23,普通,特急きらめき,普通,特急リレーかもめ66,,,,,,,,,
,0,10,30,44,,,,,,,,,
,門司港,門司港,折尾,門司港,,,,,,,,,
,3,6,6,6,,,,,,,,,
0,普通,,,,,,,,,,,,
,1,,,,,,,,,,,,
,福間,,,,,,,,,,,,
,6,,,,,,,,,,,,
