Aダイヤ 博多駅 上り時刻表,,,,,,
6,普通,普通,普通,普通,,
,10,25,37,56,,
,直方,小倉,直方,直方,,
,8,8,8,8,,
7,普通,普通,普通,普通,普通,
,10,26,35,42,52,
,篠栗,折尾,篠栗,長者原,篠栗,
,8,8,8,8,8,
8,普通,普通,普通,普通,普通,普通
,3,17,27,35,45,54
,直方,篠栗,直方,篠栗,直方,篠栗
,8,8,8,8,8,8
9,快速,普通,快速,普通,,
,2,12,30,39,,
,直方,篠栗,直方,直方,,
,8,8,8,8,,
10,快速,普通,普通,快速,,
,0,11,36,53,,
,直方,直方,新飯塚,直方,,
,8,8,8,8,,
11,普通,普通,快速,,,
,8,28,51,,,
,直方,新飯塚,直方,,,
,8,8,8,,,
12,普通,普通,快速,,,
,8,28,51,,,
,直方,新飯塚,直方,,,
,8,8,8,,,
13,普通,普通,快速,,,
,8,28,51,,,
,直方,新飯塚,直方,,,
,8,8,8,,,
14,普通,普通,快速,,,
,8,28,51,,,
,直方,新飯塚,直方,,,
,8,8,8,,,
15,普通,快速,普通,,,
,8,28,45,,,
,直方,直方,直方,,,
,8,1,8,,,
16,普通,快速,普通,普通,快速,
,3,22,30,40,56,
,篠栗,直方,直方,篠栗,直方,
,8,8,7,8,8,
17,普通,快速,普通,普通,快速,
,6,23,33,43,54,
,新飯塚,直方,直方,篠栗,直方,
,8,8,8,8,8,
18,普通,快速,普通,普通,快速,
,10,22,33,43,57,
,新飯塚,直方,直方,篠栗,直方,
,8,8,8,8,8,
19,普通,快速,普通,普通,快速,
,9,19,33,43,57,
,直方,直方,直方,篠栗,直方,
,8,8,8,8,8,
20,普通,普通,快速,普通,普通,
,8,19,28,34,46,
,直方,篠栗,直方,折尾,篠栗,
,8,8,8,7,8,
21,快速,普通,普通,特急かいおう,普通,
,0,11,23,37,44,
,直方,直方,篠栗,直方,直方,
,8,8,8,7,8,
22,普通,普通,普通,,,
,10,28,56,,,
,新飯塚,直方,篠栗,,,
,8,8,8,,,
23,普通,普通,普通,,,
,5,20,49,,,
,直方,直方,新飯塚,,,
,8,8,8,,,
