Aダイヤ 小倉駅 上り時刻表,,,,,,,,,,
5,普通,普通,,,,,,,,
,47,55,,,,,,,,
,下関,門司港,,,,,,,,
,6,4,,,,,,,,
6,普通,普通,普通,普通,普通,普通,,,,
,11,14,23,32,37,57,,,,
,門司港,下関,下関,下関,門司港,門司港,,,,
,8,3,2,4,8,4,,,,
7,普通,普通,普通,普通,普通,普通,普通,普通,,
,8,14,20,30,33,44,47,55,,
,下関,門司港,下関,門司港,下関,門司港,下関,門司港,,
,2,4,3,3,6,8,3,8,,
8,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,1,5,15,19,25,30,34,41,49,59
,下関,門司港,下関,門司港,下関,門司港,門司港,下関,門司港,門司港
,6,2,6,8,2,8,2,7,7,4
9,普通,普通,普通,快速,普通,普通,普通,普通,区間快速,
,5,14,18,26,30,36,40,44,57,
,門司港,下関,門司港,門司港,下関,門司港,下関,門司港,門司港,
,2,6,8,8,6,3,6,8,8,
10,快速,普通,普通,普通,普通,普通,区間快速,,,
,2,13,18,27,37,41,58,,,
,門司港,下関,門司港,下関,下関,門司港,門司港,,,
,7,6,8,4,6,8,8,,,
11,普通,普通,普通,区間快速,普通,,,,,
,9,23,32,41,52,,,,,
,下関,門司港,下関,門司港,下関,,,,,
,3,8,7,8,6,,,,,
12,普通,普通,普通,区間快速,普通,,,,,
,12,18,38,41,56,,,,,
,下関,門司港,下関,門司港,下関,,,,,
,6,8,3,8,3,,,,,
13,普通,普通,区間快速,普通,,,,,,
,18,32,41,54,,,,,,
,門司港,下関,門司港,下関,,,,,,
,8,6,8,3,,,,,,
14,普通,普通,区間快速,普通,区間快速,,,,,
,18,27,34,53,58,,,,,
,門司港,下関,門司港,下関,門司港,,,,,
,8,3,8,6,8,,,,,
15,普通,普通,区間快速,普通,区間快速,,,,,
,12,17,34,43,56,,,,,
,下関,門司港,門司港,下関,門司港,,,,,
,6,8,8,6,8,,,,,
16,普通,普通,区間快速,普通,区間快速,,,,,
,12,17,33,37,57,,,,,
,下関,門司港,門司港,下関,門司港,,,,,
,6,8,8,2,8,,,,,
17,普通,普通,普通,普通,区間快速,普通,普通,,,
,1,13,16,29,33,45,53,,,
,下関,下関,門司港,下関,門司港,下関,門司港,,,
,7,6,8,7,8,6,4,,,
18,普通,普通,普通,普通,普通,区間快速,普通,普通,,
,0,15,18,24,27,40,55,59,,
,下関,下関,門司港,門司港,下関,門司港,門司港,下関,,
,6,2,8,4,7,8,8,2,,
19,区間快速,普通,普通,特急きらめき,普通,普通,区間快速,,,
,16,20,31,36,39,51,55,,,
,門司港,下関,門司港,門司港,下関,下関,門司港,,,
,8,3,7,8,3,6,8,,,
20,普通,快速,普通,普通,特急きらめき,普通,普通,,,
,2,7,26,35,38,42,52,,,
,下関,門司港,門司港,下関,門司港,門司港,下関,,,
,2,8,4,2,8,7,2,,,
21,快速,普通,特急きらめき,普通,普通,,,,,
,1,21,37,41,47,,,,,
,門司港,門司港,門司港,下関,門司港,,,,,
,8,8,8,2,8,,,,,
22,普通,普通,特急きらめき,普通,快速,普通,,,,
,6,9,22,31,44,49,,,,
,門司港,下関,門司港,下関,門司港,下関,,,,
,4,2,8,2,8,7,,,,
23,普通,普通,快速,普通,普通,普通,,,,
,3,16,24,38,42,59,,,,
,門司港,下関,門司港,門司港,下関,門司港,,,,
,8,3,8,8,3,8,,,,
0,特急きらめき,普通,特急リレーかもめ,,,,,,,
,7,31,39,,,,,,,
,門司港,門司港,門司港,,,,,,,
,8,8,8,,,,,,,
