Aダイヤ  小倉駅 上り時刻表,,,,,,,,,,,
4,普通4両,,,,,,,,,,
,51,,,,,,,,,,
,博多,,,,,,,,,,
,5,,,,,,,,,,
5,快速8両,普通9両,普通8両,特急きらめき,,,,,,,
,10,18,39,57,,,,,,,
,博多,博多,博多,博多,,,,,,,
,5,5,5,5,,,,,,,
6,普通9両,特急ソニック202号,普通9両,普通6両,快速9両,普通9両,特急ソニック,区間快速(小倉-福間快速)8両,普通9両,特急かささぎ101号,快速9両
,0,15,18,24,30,35,43,45,49,56,59
,二日市,博多,南福岡,遠賀川,羽犬塚,久留米,博多,博多,南福岡,肥前鹿島,南福岡
,6,4,5,5,6,5,4,6,5,5,6
7,普通6両,特急リレーかもめ9号,快速8両,普通6両,特急ソニック,普通6両,特急きらめき,普通3両,快速8両,区間快速(福間-二日市快速)6両,
,2,9,17,22,31,33,41,43,49,54,
,遠賀川,武雄温泉,鳥栖,鳥栖,博多,南福岡,博多,直方,南福岡,鳥栖,
,7,5,5,8,4,8,5,7,6,5,
8,特急ソニック,普通8両,普通3両,区間快速(福間-博多快速)6両,特急ソニック,普通3両,,,,,
,9,12,24,37,45,47,,,,,
,博多,鳥栖,直方,二日市,博多,直方,,,,,
,4,7,5,6,4,8,,,,,
9,区間快速(福間まで各駅停車)8両,特急ソニック,区間快速(折尾まで各駅停車)6両,特急ソニック,区間快速(福間-二日市快速)6両,,,,,,
,1,19,29,39,55,,,,,,
,羽犬塚,博多,羽犬塚,博多,鳥栖,,,,,,
,6,4,5,4,5,,,,,,
10,特急ソニック,特急きらめき,普通3両,特急ソニック,区間快速(折尾-博多快速)9両,,,,,,
,5,24,27,40,45,,,,,,
,博多,博多,直方,博多,博多,,,,,,
,4,4,7,4,5,,,,,,
11,特急ソニック,区間快速(福間-二日市快速)8両,普通2両,特急ソニック,区間快速(折尾まで各駅停車)6両,,,,,,
,5,7,24,40,44,,,,,,
,博多,鳥栖,直方,博多,羽犬塚,,,,,,
,4,5,5,4,5,,,,,,
12,特急ソニック,区間快速(福間-二日市快速)8両,普通3両,特急ソニック,区間快速(折尾まで各駅停車)9両,,,,,,
,5,7,24,40,44,,,,,,
,博多,鳥栖,直方,博多,羽犬塚,,,,,,
,4,5,5,4,5,,,,,,
13,特急ソニック,区間快速(福間-二日市快速)7両,普通3両,特急ソニック,区間快速(折尾まで各駅停車)8両,,,,,,
,5,7,25,40,44,,,,,,
,博多,鳥栖,直方,博多,羽犬塚,,,,,,
,4,5,5,4,5,,,,,,
14,特急ソニック,区間快速(福間-二日市快速)8両,普通3両,特急ソニック,区間快速(折尾まで各駅停車)8両,,,,,,
,5,7,24,40,44,,,,,,
,博多,鳥栖,直方,博多,二日市,,,,,,
,4,5,5,4,5,,,,,,
15,特急ソニック,区間快速(福間-二日市快速)6両,普通3両,普通8両,特急ソニック,区間快速(折尾まで各駅停車)8両,普通6両,,,,
,5,7,23,31,40,44,56,,,,
,博多,久留米,直方,遠賀川,博多,羽犬塚,南福岡,,,,
,4,5,5,5,4,5,5,,,,
16,特急ソニック,快速9両,区間快速(福間-鳥栖快速)8両,特急ソニック,普通6両,区間快速(福間-鳥栖快速)9両,,,,,
,5,12,27,39,45,57,,,,,
,博多,羽犬塚,久留米,博多,遠賀川,羽犬塚,,,,,
,4,5,5,4,5,5,,,,,
17,特急ソニック,快速9両,区間快速(福間-鳥栖快速)8両,特急ソニック,普通6両,普通3両,区間快速(福間-鳥栖快速)7両,,,,
,6,13,27,40,42,51,57,,,,
,博多,大牟田,久留米,博多,遠賀川,直方,久留米,,,,
,4,5,5,4,5,7,5,,,,
18,特急ソニック,快速8両,区間快速(福間-鳥栖快速)7両,特急ソニック,普通8両,快速9両,,,,,
,5,13,27,40,44,56,,,,,
,博多,荒尾,荒尾,博多,遠賀川,羽犬塚,,,,,
,4,5,5,4,5,5,,,,,
19,特急ソニック,区間快速(福間-鳥栖快速)8両,特急きらめき,普通6両,特急ソニック,普通6両,,,,,
,5,14,21,30,40,53,,,,,
,博多,荒木,博多,博多,博多,遠賀川,,,,,
,4,6,5,6,4,5,,,,,
20,特急ソニック,快速6両,普通8両,快速6両,特急ソニック,普通8両,,,,,
,5,7,20,34,40,43,,,,,
,博多,荒木,江北,博多,博多,久留米,,,,,
,4,5,6,6,4,5,,,,,
21,普通9両,特急にちりんシーガイア14号,区間快速(福間-二日市快速)6両,特急ソニック,普通6両,普通3両,,,,,
,1,13,23,40,43,57,,,,,
,二日市,博多,荒尾,博多,久留米,直方,,,,,
,6,4,5,4,5,5,,,,,
22,普通6両,普通8両,特急かささぎ201号,普通9両,普通8両,,,,,,
,11,24,31,40,55,,,,,,
,久留米,福間,佐賀,南福岡,福間,,,,,,
,6,6,5,7,5,,,,,,
23,特急ソニック,普通7両,普通9両,,,,,,,,
,2,22,48,,,,,,,,
,博多,赤間,海老津,,,,,,,,
,4,6,5,,,,,,,,
