Aダイヤ  小倉駅 上り時刻表,,,,,,,,
5,普通,普通4両,,,,,,
,33,51,,,,,,
,宇佐,新田原,,,,,,
,2,3,,,,,,
6,普通,特急にちりん3号4両,普通4両,,,,,
,10,39,42,,,,,
,中津,宮崎空港,大分,,,,,
,2,3,1,,,,,
7,普通,特急ソニック,普通4両,普通,普通,普通,普通6両,
,0,14,19,26,32,40,46,
,田川後藤寺,大分,中津,添田,行橋,中津,苅田,
,3,7,1,2,3,1,4,
8,特急ソニック,普通,普通3両,普通,普通,特急にちりんシーガイア5号6両,普通,特急ソニック
,0,5,11,18,28,35,52,58
,大分,行橋,田川後藤寺,中津,行橋,宮崎空港,中津,大分
,7,1,3,1,1,7,1,7
9,普通,特急ソニック,普通,普通,特急ソニック,普通,普通,
,10,16,22,37,46,54,59,
,行橋,大分,田川後藤寺,新田原,大分,中津,田川後藤寺,
,1,7,3,2,7,4,2,
10,特急ソニック,普通,普通,特急ソニック,普通,普通,,
,12,17,36,43,46,55,,
,大分,新田原,行橋,大分,田川後藤寺,中津,,
,7,1,3,7,2,1,,
11,特急ソニック,普通,普通,特急ソニック,普通,普通,,
,9,15,36,42,54,59,,
,大分,新田原,行橋,大分,中津,田川後藤寺,,
,7,1,2,7,1,3,,
12,特急ソニック,普通,普通,特急ソニック,普通,普通,,
,9,15,36,42,47,54,,
,大分,新田原,行橋,大分,田川後藤寺,中津,,
,7,1,1,7,2,1,,
13,特急ソニック,普通,普通,特急ソニック,普通,,,
,9,15,36,42,54,,,
,大分,新田原,行橋,大分,中津,,,
,7,2,1,7,1,,,
14,特急ソニック,普通,普通,普通,特急ソニック,普通,,
,9,15,22,36,42,54,,
,大分,新田原,添田,行橋,大分,中津,,
,7,1,2,1,7,3,,
15,特急ソニック,普通,普通,普通,普通,特急ソニック,普通,
,9,15,22,28,36,42,54,
,大分,新田原,添田,行橋,中津,大分,中津,
,7,1,3,1,2,7,2,
16,普通,特急ソニック,普通,普通,特急ソニック,普通,普通,普通
,2,9,16,25,43,45,49,55
,添田,大分,行橋,中津,大分,新田原,田川後藤寺,中津
,3,7,1,2,7,1,3,4
17,特急ソニック,普通6両,普通,普通,普通,特急ソニック,普通,普通
,10,12,16,24,36,44,48,54
,大分,行橋,添田,中津,中津,佐伯,添田,柳ケ浦
,7,3,1,4,1,7,3,2
18,特急ソニック,普通6両,普通,普通,普通6両,特急ソニック,普通,普通6両
,10,13,22,30,41,46,52,58
,大分,柳ケ浦,田川後藤寺,中津,新田原,大分,添田,中津
,7,1,1,3,1,7,1,4
19,特急ソニック,普通,普通,普通,特急ソニック,普通6両,普通,
,12,17,26,39,46,52,59,
,大分,新田原,田川後藤寺,中津,大分,宇佐,添田,
,7,1,2,1,7,1,3,
20,特急ソニック,普通,普通,普通6両,特急ソニック,普通,普通,
,12,16,27,32,49,53,58,
,大分,新田原,田川後藤寺,柳ケ浦,大分,新田原,田川後藤寺,
,7,1,1,3,7,1,3,
21,特急ソニック,普通,普通,普通6両,特急ソニック,,,
,10,18,38,45,54,,,
,大分,中津,添田,柳ケ浦,大分,,,
,7,2,1,3,7,,,
22,普通,普通6両,普通,普通,,,,
,12,18,48,58,,,,
,田川後藤寺,柳ケ浦,柳ケ浦,田川後藤寺,,,,
,3,1,1,1,,,,
23,特急ソニック,特急ソニック201号,普通3両,普通4両,,,,
,4,25,28,57,,,,
,大分,中津,柳ケ浦,行橋,,,,
,7,7,4,1,,,,
