Aダイヤ 長崎駅 下り時刻表,,,,,
5,長与経由普通,普通,,,
,45,48,,,
,佐世保,諫早,,,
,2,5,,,
6,普通,快速シーサイドライナー+,普通,長与経由普通,快速シーサイドライナー
,00,15,29,35,49
,諫早,竹松,諫早,佐世保,佐世保
,3,1,2,1,5
7,普通,長与経由普通,快速シーサイドライナー*,,
,07,19,40,,
,諫早,諫早,佐世保,,
,2,5,2,,
8,長与経由普通,普通,快速シーサイドライナー*,,
,18,33,58,,
,早岐,湯江,早岐,,
,5,1,3,,
9,長与経由普通*,普通,,,
,14,34,,,
,竹松,諫早,,,
,1,1,,,
10,区間快速シーサイドライナー*,普通,長与経由普通,,
,07,31,40,,
,佐世保,竹松,長与,,
,5,1,3,,
11,区間快速シーサイドライナー,長与経由普通,,,
,02,19,,,
,佐世保,竹松,,,
,5,2,,,
12,区間快速シーサイドライナー,長与経由普通,普通,,
,00,12,16,,
,佐世保,諫早,肥前浜,,
,1,2,3,,
13,区間快速シーサイドライナー,長与経由普通,,,
,03,12,,,
,佐世保,竹松,,,
,2,5,,,
14,区間快速シーサイドライナー,長与経由普通,普通,,
,03,24,29,,
,佐世保,長与,竹松,,
,1,1,5,,
15,区間快速シーサイドライナー,長与経由普通,普通,,
,08,12,40,,
,佐世保,竹松,肥前浜,,
,5,3,1,,
16,快速シーサイドライナー*,長与経由普通,普通,長与経由普通,
,02,09,47,57,
,佐世保,佐世保,諫早,長与,
,2,3,2,4,
17,快速シーサイドライナー+,長与経由普通*,長与経由普通,普通,
,08,13,37,53,
,佐世保,佐世保,長与,諫早,
,3,1,5,1,
18,長与経由普通,快速シーサイドライナー+,長与経由普通,普通,
,05,14,34,39,
,佐世保,佐世保,長与,諫早,
,3,2,5,2,
19,普通,長与経由普通*,快速シーサイドライナー*,長与経由普通,
,00,06,28,36,
,諫早,佐世保,佐世保,長与,
,3,1,5,3,
20,普通,長与経由普通,普通,長与経由普通,
,03,15,35,55,
,諫早,佐世保,諫早,諫早,
,2,1,1,5,
21,快速シーサイドライナー*,普通,長与経由普通,,
,12,47,59,,
,佐世保,江北,長与,,
,3,2,5,,
22,普通*,長与経由普通,,,
,25,42,,,
,早岐,諫早,,,
,2,2,,,
23,普通*,長与経由普通,,,
,25,30,,,
,諫早,長与,,,
,2,5,,,
