Aダイヤ 鳥栖駅 下り時刻表,,,,,,,,,
4,普通,,,,,,,,
,59,,,,,,,,
,小倉,,,,,,,,
,1,,,,,,,,
5,普通,,,,,,,,
,31,,,,,,,,
,博多,,,,,,,,
,2,,,,,,,,
6,普通,普通,普通,区間快速(南福岡から各駅),普通,特急かささぎ,普通,区間快速(南福岡から各駅),普通
,03,14,26,33,36,42,47,56,59
,博多,門司港,博多,博多,門司港,博多,小倉,博多,福間
,1,1,1,1,2,1,4,2,1
7,普通,普通,特急かささぎ,快速(南福岡~博多間各駅停車),みどり(リレーかもめ),普通,区間快速(南福岡~博多間各駅停車),特急かささぎ,
,08,18,21,28,36,38,46,56,
,吉塚,門司港,博多,門司港,博多,吉塚,門司港,吉塚,
,1,4,1,3,2,3,1,1,
8,普通,リレーかもめ,快速(南福岡~博多間各駅停車),普通,特急みどり,普通,区間快速(南福岡~博多間各駅停車),,
,01,12,15,25,39,45,50,,
,吉塚,博多,門司港,博多,博多,博多,門司港,,
,3,3,2,1,2,1,4,,
9,リレーかもめ,快速,区間快速(二日市-福間間快速),普通,特急みどり,普通,リレーかもめ,区間快速(折尾から各駅停車),
,03,14,18,26,31,44,48,56,
,博多,小倉,門司港,折尾,博多,福間,博多,門司港,
,3,1,1,4,1,1,1,4,
10,特急かささぎ,普通,リレーかもめ,特急みどり,普通,普通,リレーかもめ,特急ゆふ,
,04,13,22,29,33,42,51,56,
,博多,博多,博多,博多,折尾,福間,博多,博多,
,1,4,1,1,4,1,3,1,
11,区間快速(折尾から各駅停車),普通,特急みどり,区間快速(二日市まで各駅停車),リレーかもめ,区間快速(折尾から各駅停車),,,
,03,14,32,34,54,59,,,
,門司港,福間,博多,博多,博多,小倉,,,
,2,1,2,1,3,1,,,
12,ハウステンボス･みどり,普通,特急かささぎ,区間快速(二日市-福間間快速),リレーかもめ,区間快速(折尾から各駅停車),,,
,11,16,31,34,53,59,,,
,博多,福間,博多,門司港,博多,門司港,,,
,1,1,1,4,3,1,,,
13,ハウステンボス･みどり,普通,区間快速(二日市-福間間快速),リレーかもめ,特急ゆふいんの森,区間快速(折尾から各駅停車),,,
,06,15,33,52,55,59,,,
,博多,福間,門司港,博多,博多,門司港,,,
,1,1,4,3,1,1,,,
14,ハウステンボス･みどり,普通,区間快速(二日市-福間間快速),リレーかもめ,区間快速(折尾から各駅停車),,,,
,06,15,33,53,57,,,,
,博多,福間,門司港,博多,門司港,,,,
,1,1,4,3,1,,,,
15,特急みどり,普通,特急かささぎ,区間快速(二日市-福間間快速),リレーかもめ,区間快速(折尾から各駅停車),,,
,05,16,31,33,53,59,,,
,博多,福間,博多,門司港,博多,小倉,,,
,3,1,1,4,1,1,,,
16,特急ゆふ,ハウステンボス･みどり,普通,快速,区間快速(二日市-福間間快速),リレーかもめ,区間快速(二日市-福間間快速),,
,07,11,13,25,30,52,54,,
,博多,博多,福間,小倉,門司港,博多,門司港,,
,1,2,1,4,1,1,4,,
17,普通,快速,ハウステンボス･みどり,普通,特急ゆふ,区間快速(二日市-福間間快速),リレーかもめ,,
,08,15,25,29,44,47,53,,
,門司港,小倉,博多,海老津,博多,門司港,博多,,
,1,1,2,4,1,2,2,,
18,普通,快速,みどり(リレーかもめ),普通,普通,区間快速(福間から各駅停車),リレーかもめ,,
,01,13,24,33,46,51,55,,
,門司港,門司港,博多,海老津,福間,小倉,博多,,
,4,1,3,1,3,1,1,,
19,特急ゆふいんの森,普通,特急かささぎ,快速,普通,みどり(リレーかもめ),普通,リレーかもめ,区間快速(福間から各駅停車)
,02,05,13,17,24,32,43,55,58
,博多,門司港,博多,門司港,福間,博多,小倉,博多,小倉
,1,3,3,1,4,1,4,1,4
20,普通,特急かささぎ,快速,普通,みどり(リレーかもめ),普通,リレーかもめ,,
,02,15,20,25,34,44,56,,
,博多,博多,小倉,門司港,博多,小倉,博多,,
,1,1,3,1,3,1,1,,
21,普通,特急ゆふ,快速,みどり(リレーかもめ),普通,,,,
,04,11,27,35,45,,,,
,門司港,博多,門司港,博多,門司港,,,,
,4,1,3,1,4,,,,
22,特急みどり,普通,リレーかもめ,普通,,,,,
,08,21,27,50,,,,,
,博多,博多,博多,福間,,,,,
,2,1,1,3,,,,,
23,リレーかもめ,普通,,,,,,,
,20,38,,,,,,,
,門司港,博多,,,,,,,
,1,2,,,,,,,
