Aダイヤ 鳥栖駅 下り時刻表,,,,,,
6,普通,普通,,,,
,02,45,,,,
,大牟田,大牟田,,,,
,6,6,,,,
7,快速,普通,普通,普通,普通,
,02,24,32,38,59,
,荒尾,八代,日田,大牟田,荒尾,
,5,3,4,6,6,
8,特急ゆふ,快速,普通,普通,,
,15,27,31,46,,
,別府,羽犬塚,荒尾,久留米,,
,4,5,6,6,,
9,普通,普通,区間快速(大牟田から各駅停車),特急ゆふいんの森,,
,05,21,31,43,,
,荒尾,久留米,熊本,由布院,,
,4,6,2,6,,
10,普通,快速,特急ゆふ73号,普通,,
,06,33,37,49,,
,大牟田,荒尾,別府,久留米,,
,5,3,5,5,,
11,快速,普通,普通,快速,普通,
,03,10,27,40,42,
,羽犬塚,荒尾,荒木,羽犬塚,荒尾,
,5,6,5,6,3,
12,普通,普通,快速,特急ゆふ,普通,
,09,31,36,39,43,
,荒尾,荒尾,羽犬塚,別府,久留米,
,2,3,5,4,5,
13,普通,快速,普通,普通,,
,09,28,36,50,,
,荒尾,羽犬塚,荒尾,久留米,,
,2,6,2,5,,
14,普通,快速,普通,普通,,
,10,32,39,47,,
,荒尾,羽犬塚,大牟田,久留米,,
,2,6,2,5,,
15,特急ゆふいんの森,普通,快速,普通,普通,
,04,10,29,34,46,
,由布院,八代,羽犬塚,大牟田,久留米,
,6,2,6,3,6,
16,普通,快速,普通,普通,,
,02,23,36,55,,
,大牟田,羽犬塚,八代,久留米,,
,3,6,2,6,,
17,普通,快速,快速,普通,快速,
,06,10,36,41,51,
,大牟田,久留米,羽犬塚,大牟田,羽犬塚,
,2,5,5,6,6,
18,普通,普通,普通,快速,快速,特急ゆふ
,03,07,30,34,53,58
,大牟田,荒木,大牟田,久留米,大牟田,大分
,3,5,5,6,5,4
19,普通,快速,普通,快速,普通,快速
,05,14,29,36,50,58
,大牟田,羽犬塚,荒尾,久留米,荒木,荒尾
,2,5,2,6,6,6
20,快速,普通,快速,普通,快速,
,11,16,37,45,53,
,久留米,八代,荒尾,久留米,羽犬塚,
,5,2,5,6,6,
21,快速,普通,快速,普通,,
,13,16,45,51,,
,荒木,八代,荒木,熊本,,
,5,3,6,3,,
22,普通,普通,,,,
,22,38,,,,
,大牟田,羽犬塚,,,,
,3,6,,,,
23,普通,快速,,,,
,09,34,,,,
,久留米,荒尾,,,,
,6,5,,,,
0,普通,普通,,,,
,03,28,,,,
,久留米,久留米,,,,
,6,6,,,,
