平日ダイヤ 武蔵小杉駅 下り時刻表,,,,,,,,,,,,
4,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
5,横須賀線普通,横須賀線普通,,,,,,,,,,
,34,51,,,,,,,,,,
,東京,成田空港,,,,,,,,,,
,1,1,,,,,,,,,,
6,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,,,,,
,15,30,45,57,,,,,,,,
,千葉,君津,津田沼,君津,,,,,,,,
,1,1,1,1,,,,,,,,
7,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,
,0,4,14,20,26,31,37,39,43,50,55,
,宇都宮,津田沼,千葉,東京,千葉,津田沼,小金井,君津,津田沼,成田空港,宇都宮,
,1,1,1,1,1,1,1,1,1,1,1,
8,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,横須賀線普通
,0,6,11,16,18,26,31,33,43,48,50,56
,津田沼,千葉,千葉,小金井,千葉,上総一ノ宮,小金井,君津,津田沼,宇都宮,千葉,成田空港
,1,1,1,1,1,1,1,1,1,1,1,1
9,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,
,4,12,16,23,29,31,34,45,53,58,,
,東京,千葉,宇都宮,上総一ノ宮,津田沼,古河,君津,千葉,成田空港,東京,,
,1,1,1,1,1,1,1,1,1,1,,
10,横須賀線普通,快速,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,
,6,9,16,24,27,35,47,55,,,,
,東京,宇都宮,津田沼,小金井,千葉,君津,宇都宮,成田空港,,,,
,1,1,1,1,1,1,1,1,,,,
11,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,,,
,6,15,22,35,45,55,,,,,,
,千葉,宇都宮,千葉,君津,宇都宮,成田空港,,,,,,
,1,1,1,1,1,1,,,,,,
12,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,,,
,6,15,22,36,46,57,,,,,,
,千葉,宇都宮,千葉,君津,宇都宮,成田空港,,,,,,
,1,1,1,1,1,1,,,,,,
13,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,,,
,6,15,22,36,46,55,,,,,,
,千葉,宇都宮,千葉,君津,宇都宮,成田空港,,,,,,
,1,1,1,1,1,1,,,,,,
14,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,,,
,6,14,22,36,45,55,,,,,,
,千葉,宇都宮,上総一ノ宮,君津,宇都宮,成田空港,,,,,,
,1,1,1,1,1,1,,,,,,
15,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,,,,,,
,7,15,23,36,44,53,,,,,,
,千葉,宇都宮,君津,上総一ノ宮,宇都宮,千葉,,,,,,
,1,1,1,1,1,1,,,,,,
16,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,快速,横須賀線普通,横須賀線普通,,,,,
,6,14,18,33,46,50,57,,,,,
,千葉,古河,成田空港,上総一ノ宮,宇都宮,成田空港,津田沼,,,,,
,1,1,1,1,1,1,1,,,,,
17,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,
,6,16,20,27,36,47,50,57,,,,
,千葉,小金井,君津,成田空港,上総一ノ宮,宇都宮,成田空港,千葉,,,,
,1,1,1,1,1,1,1,1,,,,
18,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,
,6,13,19,23,34,46,49,58,,,,
,千葉,小金井,津田沼,成田空港,上総一ノ宮,古河,成田空港,千葉,,,,
,1,1,1,1,1,1,1,1,,,,
19,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,
,8,14,21,29,36,46,50,58,,,,
,津田沼,宇都宮,千葉,千葉,上総一ノ宮,古河,成田空港,東京,,,,
,1,1,1,1,1,1,1,1,,,,
20,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,,,
,6,15,20,32,43,53,,,,,,
,千葉,古河,佐倉,千葉,上総一ノ宮,千葉,,,,,,
,1,1,1,1,1,1,,,,,,
21,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,
,0,6,13,17,27,34,44,52,56,,,
,宇都宮,成田空港,君津,成田,千葉,佐倉,成田空港,小金井,千葉,,,
,1,1,1,1,1,1,1,1,1,,,
22,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,横須賀線普通,,,,,,
,5,18,37,40,44,57,,,,,,
,津田沼,千葉,佐倉,小金井,千葉,千葉,,,,,,
,1,1,1,1,1,1,,,,,,
23,横須賀線普通,横須賀線普通,横須賀線普通,,,,,,,,,
,19,43,56,,,,,,,,,
,千葉,千葉,東京,,,,,,,,,
,1,1,1,,,,,,,,,
0,横須賀線普通,,,,,,,,,,,
,17,,,,,,,,,,,
,品川,,,,,,,,,,,
,1,,,,,,,,,,,
