平日ダイヤ 武蔵小杉駅 上り時刻表,,,,,,,
4,横須賀線普通,,,,,,
,40,,,,,,
,久里浜,,,,,,
,2,,,,,,
5,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,,,,
,0,37,57,,,,
,平塚,大船,平塚,,,,
,2,2,2,,,,
8,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通
,8,18,27,35,41,48,54
,大船,小田原,大船,国府津,逗子,平塚,大船
,2,2,2,2,2,2,2
9,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,,
,2,14,26,41,53,,
,小田原,逗子,国府津,大船,国府津,,
,2,2,2,2,2,,
10,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,,,
,11,22,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
11,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
12,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,21,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
13,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
14,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,19,37,50,,,
,逗子,小田原,逗子,国府津,,,
,2,2,2,2,,,
15,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
16,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
17,湘南新宿ライン普通,湘南新宿ライン特快,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,20,40,53,,,
,逗子,小田原,逗子,平塚,,,
,2,2,2,2,,,
18,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,湘南新宿ライン快速,,,
,7,24,42,53,,,
,逗子,小田原,逗子,小田原,,,
,2,2,2,2,,,
19,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,,,,
,11,28,46,,,,
,大船,国府津,大船,,,,
,2,2,2,,,,
20,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,,
,5,23,30,43,54,,
,平塚,逗子,平塚,大船,国府津,,
,2,2,2,2,2,,
21,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,,,,
,6,28,40,,,,
,大船,小田原,逗子,,,,
,2,2,2,,,,
22,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,,,,
,6,20,45,,,,
,逗子,小田原,大船,,,,
,2,2,2,,,,
23,湘南新宿ライン快速,湘南新宿ライン快速,,,,,
,4,18,,,,,
,小田原,国府津,,,,,
,2,2,,,,,
0,横須賀線普通,,,,,,
,9,,,,,,
,大船,,,,,,
,2,,,,,,
