平日ダイヤ 武蔵小杉駅 下り時刻表,,,,,
4,,,,,
,,,,,
,,,,,
,,,,,
5,横須賀線普通,横須賀線普通,,,
,34,51,,,
,東京,成田空港,,,
,1,1,,,
6,湘南新宿ライン快速,,,,
,37,,,,
,高崎,,,,
,1,,,,
7,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通
,0,18,37,45,55
,宇都宮,籠原,小金井,高崎,宇都宮
,1,1,1,1,1
8,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速
,3,16,21,31,48
,籠原,小金井,高崎,小金井,宇都宮
,1,1,1,1,1
9,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン普通,湘南新宿ライン特快,
,2,16,31,48,
,籠原,宇都宮,古河,高崎,
,1,1,1,1,
10,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,9,24,30,47,
,宇都宮,小金井,籠原,宇都宮,
,1,1,1,1,
11,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,0,15,27,45,
,高崎,宇都宮,籠原,宇都宮,
,1,1,1,1,
12,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,0,15,28,46,
,高崎,宇都宮,籠原,宇都宮,
,1,1,1,1,
13,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,湘南新宿ライン特快
,0,15,27,46,59
,高崎,宇都宮,籠原,宇都宮,高崎
,1,1,1,1,1
14,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,,
,14,27,45,,
,宇都宮,籠原,宇都宮,,
,1,1,1,,
15,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,0,15,27,44,
,高崎,宇都宮,籠原,宇都宮,
,1,1,1,1,
16,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,0,14,27,46,
,高崎,古河,籠原,宇都宮,
,1,1,1,1,
17,湘南新宿ライン特快,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,
,0,16,30,47,
,高崎,小金井,籠原,宇都宮,
,1,1,1,1,
18,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速
,0,13,30,46,52
,高崎,小金井,籠原,古河,籠原
,1,1,1,1,1
19,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン普通,
,2,14,32,46,
,籠原,宇都宮,前橋,古河,
,1,1,1,1,
20,湘南新宿ライン快速,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,
,2,15,34,48,
,籠原,古河,前橋,籠原,
,1,1,1,1,
21,湘南新宿ライン普通,湘南新宿ライン快速,湘南新宿ライン快速,湘南新宿ライン普通,
,0,20,37,52,
,宇都宮,籠原,高崎,小金井,
,1,1,1,1,
22,湘南新宿ライン快速,湘南新宿ライン普通,,,
,8,40,,,
,高崎,小金井,,,
,1,1,,,
23,湘南新宿ライン快速,,,,
,11,,,,
,籠原,,,,
,1,,,,
0,横須賀線普通,,,,
,17,,,,
,品川,,,,
,1,,,,
