Aダイヤ 松本駅 下り時刻表,,
6,普通,普通
,18,54
,長野,長野
,3,3
7,特急信州,普通
,10,30
,長野,長野
,3,2
8,快速,普通みすず
,12,40
,長野,長野
,3,3
9,特急しなの,普通
,9,26
,長野,長野
,3,1
10,特急しなの,
,6,
,長野,
,3,
11,特急しなの,普通
,6,30
,長野,長野
,3,3
12,特急しなの,普通
,6,30
,長野,長野
,3,5
13,特急しなの,普通
,6,30
,長野,長野
,2,3
14,特急しなの,普通
,6,30
,長野,長野
,3,3
15,特急しなの,普通
,6,30
,長野,長野
,3,1
16,特急しなの,普通
,5,34
,長野,長野
,3,1
17,特急しなの,普通
,5,34
,長野,長野
,2,3
18,特急しなの,普通
,5,24
,長野,長野
,3,3
19,普通,特急しなの
,14,47
,長野,長野
,3,2
20,快速,特急しなの
,5,48
,長野,長野
,5,2
21,普通,特急しなの
,6,51
,長野,長野
,3,2
22,普通,普通
,7,48
,明科,長野
,2,2
