Bダイヤ 長野駅 下り時刻表,,,,,,
5,普通,,,,,
,24,,,,,
,軽井沢,,,,,
,7,,,,,
6,特急しなの,普通,普通,普通,快速,普通
,9,19,31,38,54,59
,名古屋,小諸*,飯田,小諸,松本,小諸*
,6,2,7,3,6,3
7,普通,特急しなの,普通,普通,,
,21,44,48,54,,
,軽井沢,名古屋,松本,上田,,
,3,6,5,3,,
8,普通,普通,普通,普通,,
,5,15,28,41,,
,戸倉*,松本,戸倉,上田,,
,6,7,3,3,,
9,特急しなの,普通,普通,普通,,
,1,5,20,45,,
,名古屋,軽井沢,松本,軽井沢,,
,6,3,6,3,,
10,特急しなの,快速ﾘｿﾞｰﾄビューふるさと,普通,普通,,
,0,4,10,25,,
,名古屋,南小谷,甲府,上田,,
,6,5,3,7,,
11,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,軽井沢,松本,戸倉*,,
,6,3,5,3,,
12,特急しなの,普通,普通,快速軽井沢ﾘｿﾞｰﾄ2号,,
,0,10,25,44,,
,名古屋,篠ノ井,軽井沢,軽井沢,,
,6,5,3,2,,
13,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,戸倉*,松本,軽井沢,,
,6,3,5,3,,
14,特急しなの,普通,普通,,,
,0,10,25,,,
,名古屋,松本,小諸*,,,
,6,5,3,,,
15,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,小諸*,松本,軽井沢,,
,6,3,5,3,,
16,特急しなの,普通,普通,普通,,
,0,6,22,45,,
,名古屋,甲府,小諸*,小諸,,
,6,5,3,5,,
17,特急しなの,普通,普通,普通,,
,0,12,18,42,,
,名古屋,大月,軽井沢,小諸*,,
,6,6,3,5,,
18,普通,特急しなの,普通,普通,,
,2,11,17,39,,
,小諸*,名古屋,甲府,小諸*,,
,3,6,5,2,,
19,普通,普通,普通,特急しなの,普通,
,0,6,27,40,52,
,上田,茅野,小諸*,名古屋,松本,
,6,5,3,6,2,
20,普通,普通,,,,
,38,51,,,,
,軽井沢,甲府,,,,
,5,6,,,,
21,普通,普通,普通,,,
,22,52,59,,,
,軽井沢,上諏訪,上田,,,
,3,6,5,,,
22,普通,普通,,,,
,39,56,,,,
,小諸,松本,,,,
,3,6,,,,
23,普通,,,,,
,20,,,,,
,上田,,,,,
,3,,,,,
