Aダイヤ 松山駅 下り時刻表,,,,,,,,,,,,,,,,,,,
5,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,05,53,,,,,,,,,,,,,,,,,
,岡山･高松,観音寺(高),,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,
6,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,13,32,,,,,,,,,,,,,,,,,
,岡山･高松,伊予西条(高),,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,
7,特急しおかぜ･いしづち,普通,普通,,,,,,,,,,,,,,,,
,20,23,48,,,,,,,,,,,,,,,,
,岡山･高松,今治,伊予西条(高),,,,,,,,,,,,,,,,
,1,2,3,,,,,,,,,,,,,,,,
8,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,10,40,,,,,,,,,,,,,,,,,
,岡山･高松,伊予北条,,,,,,,,,,,,,,,,,
,1,2,,,,,,,,,,,,,,,,,
9,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,15,36,,,,,,,,,,,,,,,,,
,岡山･高松,観音寺(高),,,,,,,,,,,,,,,,,
,1,4,,,,,,,,,,,,,,,,,
10,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,21,58,,,,,,,,,,,,,,,,,
,岡山･高松,伊予西条(観),,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,
11,特急しおかぜ･いしづち,普通,普通,,,,,,,,,,,,,,,,
,23,32,58,,,,,,,,,,,,,,,,
,岡山･高松,伊予北条,伊予西条(観),,,,,,,,,,,,,,,,
,1,3,3,,,,,,,,,,,,,,,,
12,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,21,58,,,,,,,,,,,,,,,,,
,岡山･高松,観音寺(多),,,,,,,,,,,,,,,,,
,1,3,,,,,,,,,,,,,,,,,
13,特急しおかぜ･いしづち,普通,普通,,,,,,,,,,,,,,,,
,26,29,58,,,,,,,,,,,,,,,,
,岡山･高松,伊予北条,伊予西条(観),,,,,,,,,,,,,,,,
,1,3,2,,,,,,,,,,,,,,,,
14,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,23,58,,,,,,,,,,,,,,,,,
,岡山･高松,伊予西条(観),,,,,,,,,,,,,,,,,
,1,4,,,,,,,,,,,,,,,,,
15,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,28,58,,,,,,,,,,,,,,,,,
,岡山･高松,観音寺(多),,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,,
16,特急しおかぜ･いしづち,普通,普通,,,,,,,,,,,,,,,,
,27,31,58,,,,,,,,,,,,,,,,
,岡山･高松,伊予北条,観音寺(高),,,,,,,,,,,,,,,,
,1,3,4,,,,,,,,,,,,,,,,
17,特急しおかぜ･いしづち,普通,,,,,,,,,,,,,,,,,
,37,40,,,,,,,,,,,,,,,,,
,岡山･高松,伊予北条,,,,,,,,,,,,,,,,,
,1,4,,,,,,,,,,,,,,,,,
18,普通,特急しおかぜ･いしづち,,,,,,,,,,,,,,,,,
,10,39,,,,,,,,,,,,,,,,,
,伊予西条(高),岡山･高松,,,,,,,,,,,,,,,,,
,3,1,,,,,,,,,,,,,,,,,
19,普通,特急いしづち102号,,,,,,,,,,,,,,,,,
,07,32,,,,,,,,,,,,,,,,,
,伊予西条(多),高松,,,,,,,,,,,,,,,,,
,1,1,,,,,,,,,,,,,,,,,
20,普通,特急いしづち104号,,,,,,,,,,,,,,,,,
,29,38,,,,,,,,,,,,,,,,,
,今治,高松,,,,,,,,,,,,,,,,,
,4,1,,,,,,,,,,,,,,,,,
21,普通,特急いしづち106号,,,,,,,,,,,,,,,,,
,39,49,,,,,,,,,,,,,,,,,
,伊予西条,新居浜,,,,,,,,,,,,,,,,,
,3,1,,,,,,,,,,,,,,,,,
22,普通,,,,,,,,,,,,,,,,,,
,50,,,,,,,,,,,,,,,,,,
,伊予北条,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,
