Aダイヤ 松山駅 下り時刻表,,,,,,,,,,,,,,,,,,,,
5,内子線経由普通,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,
,23,48,51,,,,,,,,,,,,,,,,,
,宇和島,宇和島,宇和島,,,,,,,,,,,,,,,,,
,3,2,4,,,,,,,,,,,,,,,,,
6,内子線経由普通,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,
,13,49,56,,,,,,,,,,,,,,,,,
,伊予大洲,宇和島,八幡浜,,,,,,,,,,,,,,,,,
,4,2,4,,,,,,,,,,,,,,,,,
7,普通,,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,
,伊予市,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
8,特急宇和海,普通,伊予灘ものがたり（大洲編）,内子線経由普通,,,,,,,,,,,,,,,,
,11,18,28,45,,,,,,,,,,,,,,,,
,宇和島,伊予市,伊予大洲,伊予大洲,,,,,,,,,,,,,,,,
,2,3,3,4,,,,,,,,,,,,,,,,
9,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,,
,07,45,,,,,,,,,,,,,,,,,,
,宇和島,宇和島,,,,,,,,,,,,,,,,,,
,1,4,,,,,,,,,,,,,,,,,,
10,普通,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,
,19,30,45,,,,,,,,,,,,,,,,,
,伊予市,宇和島,伊予大洲,,,,,,,,,,,,,,,,,
,3,2,4,,,,,,,,,,,,,,,,,
11,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,八幡浜,,,,,,,,,,,,,,,,,,
,2,3,,,,,,,,,,,,,,,,,,
12,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,伊予大洲,,,,,,,,,,,,,,,,,,
,2,4,,,,,,,,,,,,,,,,,,
13,特急宇和海,伊予灘ものがたり（八幡浜編）,各停(伊予長浜経由),,,,,,,,,,,,,,,,,
,30,38,45,,,,,,,,,,,,,,,,,
,宇和島,八幡浜,八幡浜,,,,,,,,,,,,,,,,,
,2,2,3,,,,,,,,,,,,,,,,,
14,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,伊予大洲,,,,,,,,,,,,,,,,,,
,2,3,,,,,,,,,,,,,,,,,,
15,普通,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,
,19,30,45,,,,,,,,,,,,,,,,,
,伊予市,宇和島,八幡浜,,,,,,,,,,,,,,,,,
,3,2,3,,,,,,,,,,,,,,,,,
16,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,伊予大洲,,,,,,,,,,,,,,,,,,
,2,3,,,,,,,,,,,,,,,,,,
17,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,八幡浜,,,,,,,,,,,,,,,,,,
,2,3,,,,,,,,,,,,,,,,,,
18,普通,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,
,19,30,45,,,,,,,,,,,,,,,,,
,伊予市,宇和島,伊予大洲,,,,,,,,,,,,,,,,,
,4,2,3,,,,,,,,,,,,,,,,,
19,特急宇和海,各停(伊予長浜経由),,,,,,,,,,,,,,,,,,
,30,45,,,,,,,,,,,,,,,,,,
,宇和島,八幡浜,,,,,,,,,,,,,,,,,,
,2,3,,,,,,,,,,,,,,,,,,
20,普通,特急宇和海,内子線経由普通,,,,,,,,,,,,,,,,,
,19,30,45,,,,,,,,,,,,,,,,,
,伊予市,宇和島,八幡浜,,,,,,,,,,,,,,,,,
,3,2,3,,,,,,,,,,,,,,,,,
21,普通,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,
,伊予市+,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
22,特急宇和海,普通,,,,,,,,,,,,,,,,,,
,00,59,,,,,,,,,,,,,,,,,,
,宇和島,伊予市,,,,,,,,,,,,,,,,,,
,2,4,,,,,,,,,,,,,,,,,,
