Aダイヤ 高松駅 下り時刻表,,,,
5,各駅停車,,,
,39,,,
,徳島,,,
,1,,,
6,特急うずしお,各駅停車,各駅停車,
,10,21,41,
,徳島,引田,徳島,
,3,1,3,
7,特急うずしお,各駅停車,各駅停車,
,5,17,51,
,徳島,引田,ｵﾚﾝｼﾞﾀｳﾝ,
,3,1,1,
8,特急うずしお,各駅停車,,
,24,33,,
,徳島,引田,,
,3,1,,
9,特急うずしお,各駅停車,,
,10,42,,
,徳島,三本松,,
,3,2,,
10,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,引田,
,3,2,1,
11,特急うずしお,各駅停車,,
,10,42,,
,徳島,徳島,,
,3,2,,
12,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,三本松,
,3,1,2,
13,特急うずしお,各駅停車,,
,10,42,,
,徳島,引田,,
,3,2,,
14,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,引田,
,3,1,2,
15,特急うずしお,各駅停車,,
,10,42,,
,徳島,徳島,,
,3,2,,
16,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,引田,
,3,1,1,
17,特急うずしお,各駅停車,,
,15,42,,
,徳島,徳島,,
,3,2,,
18,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,引田,三本松,
,3,1,1,
19,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,引田,引田,
,3,2,1,
20,特急うずしお,各駅停車,各駅停車,
,10,14,42,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,徳島,
,3,1,1,
21,特急うずしお,各駅停車,,
,14,42,,
,徳島,引田,,
,3,1,,
22,特急うずしお,各駅停車,,
,22,50,,
,徳島,ｵﾚﾝｼﾞﾀｳﾝ,,
,3,1,,
