土休日ダイヤ 北新地駅 上り時刻表,,,,,,,,,
5,普通,普通,,,,,,,
,26,51,,,,,,,
,木津,木津,,,,,,,
,2,2,,,,,,,
6,普通,普通,普通,普通,快速,普通,,,
,03,18,29,44,50,56,,,
,松井山手,京田辺,木津,松井山手,同志社前,松井山手,,,
,2,2,2,2,2,2,,,
7,快速,普通,快速,普通,快速,普通,快速,普通,
,03,12,20,28,35,41,50,58,
,木津,四条畷,同志社前,松井山手,木津,四条畷,同志社前,松井山手,
,2,2,2,2,2,2,2,2,
8,快速,普通,快速,普通,快速,普通,快速,普通,
,5,11,20,28,35,41,50,58,
,木津,四条畷,同志社前,松井山手,木津,四条畷,同志社前,松井山手,
,2,2,2,2,2,2,2,2,
9,快速,普通,快速,普通,快速,普通,快速,普通,
,05,11,20,28,35,41,48,52,
,木津,四条畷,同志社前,松井山手,木津,四条畷,同志社前,四条畷,
,2,2,2,2,2,2,2,2,
10,快速,普通,快速,普通,快速,普通,快速,普通,快速
,00,06,14,21,29,37,44,51,59
,同志社前,四条畷,木津,四条畷,同志社前,四条畷,同志社前,松井山手,同志社前
,2,2,2,2,2,2,2,2,2
11,普通,快速,普通,区快,普通,区快,普通,区快,
,06,14,21,29,36,44,51,59,
,松井山手,木津,四条畷,同志社前,四条畷,同志社前,四条畷,同志社前,
,2,2,2,2,2,2,2,2,
12,普通,区快,普通,区快,普通,区快,普通,区快,
,06,14,21,29,36,44,51,59,
,四条畷,木津,四条畷,同志社前,四条畷,同志社前,四条畷,同志社前,
,2,2,2,2,2,2,2,2,
13,普通,区快,普通,区快,普通,区快,普通,区快,
,06,14,21,29,36,44,51,59,
,四条畷,木津,四条畷,同志社前,四条畷,同志社前,四条畷,同志社前,
,2,2,2,2,2,2,2,2,
14,普通,区快,普通,区快,普通,快速,普通,快速,
,06,14,21,29,36,44,51,59,
,四条畷,木津,四条畷,同志社前,長尾,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
15,普通,快速,普通,快速,普通,快速,普通,快速,
,06,14,21,29,36,44,51,59,
,松井山手,木津,松井山手,同志社前,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
16,普通,快速,普通,快速,普通,快速,普通,快速,
,07,13,22,28,37,43,52,58,
,松井山手,木津,松井山手,同志社前,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
17,普通,快速,普通,快速,普通,快速,普通,快速,
,7,13,22,28,37,43,52,58,
,松井山手,木津,松井山手,同志社前,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
18,普通,快速,普通,快速,普通,快速,普通,快速,
,07,13,22,28,37,43,52,58,
,松井山手,木津,松井山手,同志社前,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
19,普通,快速,普通,快速,普通,快速,普通,快速,
,07,13,22,28,37,43,52,58,
,松井山手,木津,松井山手,同志社前,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
20,普通,快速,普通,快速,普通,快速,普通,快速,
,07,13,22,28,37,43,51,59,
,松井山手,奈良,京田辺,木津,松井山手,木津,松井山手,同志社前,
,2,2,2,2,2,2,2,2,
21,普通,快速,快速,普通,快速,普通,,,
,06,16,27,36,45,56,,,
,松井山手,木津,同志社前,松井山手,木津,松井山手,,,
,2,2,2,2,2,2,,,
22,快速,普通,区快,普通,区快,普通,,,
,06,16,27,36,47,56,,,
,同志社前,四条畷,奈良,四条畷,木津,四条畷,,,
,2,2,2,2,2,2,,,
23,区快,普通,区快,普通,区快,普通,,,
,06,16,27,38,47,59,,,
,京田辺,四条畷,松井山手,四条畷,松井山手,放出,,,
,2,2,2,2,2,2,,,
0,普通,,,,,,,,
,21,,,,,,,,
,放出,,,,,,,,
,2,,,,,,,,
