Bダイヤ 北新地駅 下り時刻表,,,,,,,,
5,普通,普通,普通,,,,,
,19,35,47,,,,,
,新三田,宝塚,甲子園口,,,,,
,1,1,1,,,,,
6,普通,普通,普通,区快,普通,普通,区快,
,1,13,27,39,45,53,58,
,尼崎,新三田,西明石,新三田,宝塚,西明石,宝塚,
,1,1,1,1,1,1,1,
7,普通,快速,普通,快速,区快,快速,普通,快速
,7,15,22,30,37,45,53,58
,西明石,新三田,西明石,新三田,西明石,新三田,西明石,宝塚
,1,1,1,1,1,1,1,1
8,区快,快速,普通,快速,区快,快速,普通,快速
,7,15,23,28,37,45,53,58
,西明石,新三田,西明石,宝塚,西明石,新三田,西明石,宝塚
,1,1,1,1,1,1,1,1
9,区快,快速,普通,快速,区快,快速,普通,快速
,7,15,23,28,37,45,53,58
,西明石,宝塚,西明石,宝塚,西明石,塚口,西明石,宝塚
,1,1,1,1,1,1,1,1
10,区快,快速,普通,快速,区快,快速,普通,快速
,7,14,22,27,37,43,52,58
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
11,区快,快速,普通,快速,区快,快速,普通,快速
,7,13,22,28,37,43,52,58
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
12,区快,快速,普通,快速,普通,区快,普通,区快
,7,13,22,28,38,43,52,58
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
13,普通,区快,普通,区快,普通,区快,普通,区快
,7,13,22,28,37,43,52,58
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
14,普通,区快,普通,区快,普通,区快,普通,区快
,7,13,22,28,37,43,52,58
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
15,普通,区快,普通,区快,普通,快速,普通,快速
,7,13,22,28,37,44,52,59
,西明石,塚口,西明石,塚口,西明石,塚口,西明石,塚口
,1,1,1,1,1,1,1,1
16,普通,快速,普通,快速,普通,快速,普通,快速
,7,14,22,29,37,44,52,59
,西明石,宝塚,西明石,宝塚,西明石,宝塚,西明石,新三田
,1,1,1,1,1,1,1,1
17,普通,快速,普通,快速,普通,快速,普通,快速
,7,14,22,29,37,44,52,59
,西明石,宝塚,西明石,篠山口,西明石,宝塚,西明石,新三田
,1,1,1,1,1,1,1,1
18,普通,快速,普通,快速,普通,快速,普通,快速
,7,14,22,29,37,44,52,59
,西明石,宝塚,西明石,篠山口,西明石,宝塚,西明石,新三田
,1,1,1,1,1,1,1,1
19,普通,快速,普通,快速,普通,快速,普通,快速
,7,14,22,29,37,44,52,59
,西明石,宝塚,西明石,篠山口,西明石,宝塚,西明石,新三田
,1,1,1,1,1,1,1,1
20,普通,快速,普通,快速,普通,快速,普通,
,7,14,22,29,37,44,52,
,西明石,宝塚,西明石,篠山口,西明石,塚口,西明石,
,1,1,1,1,1,1,1,
21,普通,普通,普通,普通,普通,普通,,
,1,11,21,31,41,51,,
,新三田,西明石,宝塚,西明石,宝塚,西明石,,
,1,1,1,1,1,1,,
22,普通,普通,快速,普通,快速,普通,,
,1,11,21,31,40,51,,
,宝塚,西明石,塚口,西明石,塚口,西明石,,
,1,1,1,1,1,1,,
23,普通,普通,普通,普通,普通,普通,,
,1,11,21,31,44,59,,
,新三田,西明石,新三田,甲子園口,新三田,新三田,,
,1,1,1,1,1,1,,
