土休日ダイヤ 広島駅 下り時刻表,,,,,,
5,普通,,,,,
,52,,,,,
,岩国,,,,,
,1,,,,,
6,普通,普通,普通,,,
,25,40,58,,,
,岩国,南岩国,岩国,,,
,1,1,1,,,
7,普通,普通,普通,普通,,
,12,23,33,52,,
,五日市,岩国,岩国,岩国,,
,1,1,1,1,,
8,普通,普通,普通,,,
,10,30,46,,,
,岩国,岩国,岩国,,,
,1,1,1,,,
9,普通,快速,普通,普通,普通,
,0,12,17,30,45,
,大野浦,岩国,岩国,大野浦,岩国,
,1,2,1,1,1,
10,普通,快速,普通,普通,普通,
,0,12,15,31,51,
,大野浦,岩国,岩国,大野浦,岩国,
,1,2,1,1,1,
11,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,岩国,,
,1,1,1,1,,
12,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,岩国,,
,1,1,1,1,,
13,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,岩国,,
,1,1,1,1,,
14,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,岩国,,
,1,1,1,1,,
15,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,岩国,,
,1,1,1,1,,
16,普通,普通,普通,普通,,
,0,15,31,45,,
,大野浦,岩国,大野浦,南岩国,,
,1,1,1,1,,
17,普通,快速,普通,普通,普通,
,0,12,15,31,45,
,大野浦,岩国,岩国,大野浦,岩国,
,1,3,1,1,1,
18,普通,快速,普通,普通,普通,普通
,0,12,15,31,45,58
,大野浦,岩国,岩国,大野浦,岩国,岩国
,1,2,1,1,1,1
19,普通,普通,普通,普通,普通,
,11,20,31,42,54,
,岩国,岩国,岩国,岩国,徳山,
,2,1,1,1,1,
20,普通,普通,普通,,,
,14,23,43,,,
,岩国,五日市,徳山,,,
,1,1,1,,,
21,普通,普通,普通,普通,,
,2,20,31,45,,
,岩国,岩国,岩国,岩国,,
,1,1,1,1,,
22,普通,普通,普通,普通,,
,5,20,35,55,,
,岩国,五日市,岩国,岩国,,
,1,1,1,1,,
23,普通,普通,,,,
,20,44,,,,
,岩国,五日市,,,,
,1,1,,,,
0,普通,,,,,
,4,,,,,
,岩国,,,,,
,1,,,,,
