Aダイヤ 広島駅,,,,,,
5,普通,,,,,
,40,,,,,
,広,,,,,
,4,,,,,
6,普通,普通,普通,普通,,
,3,30,42,58,,
,広,広,坂,広,,
,3,7,7,5,,
7,普通,普通,普通,普通,,
,9,19,37,51,,
,坂,広,広,坂,,
,5,3,5,3,,
8,普通,普通,普通,普通,,
,5,21,36,53,,
,広,坂,広,広,,
,7,3,5,3,,
9,普通,快速,普通,,,
,14,29,40,,,
,呉,広,呉,,,
,7,3,7,,,
10,快速,普通,快速,普通,,
,0,10,30,40,,
,広,呉,広,呉,,
,4,3,3,7,,
11,快速,快速,普通,,,
,0,30,40,,,
,広,広,呉,,,
,3,3,7,,,
12,快速,快速,普通,,,
,0,30,40,,,
,広,広,呉,,,
,3,3,7,,,
13,快速,快速,普通,,,
,0,30,40,,,
,広,広,呉,,,
,3,3,7,,,
14,快速,快速,普通,,,
,0,30,40,,,
,広,広,呉,,,
,3,3,7,,,
15,快速,普通,快速,普通,,
,0,10,30,40,,
,広,呉,広,広,,
,3,7,3,7,,
16,快速,普通,快速,普通,,
,0,10,30,40,,
,安浦,呉,広,広,,
,3,7,7,7,,
17,快速,普通,普通,快速,普通,普通
,0,10,20,30,40,50
,糸崎,安浦,坂,広,糸崎,坂
,3,7,7,7,7,7
18,快速,普通,普通,快速,普通,普通
,0,10,20,30,40,50
,広,広,坂,三原,広,坂
,3,5,3,5,3,5
19,快速,普通,普通,快速,普通,
,0,10,20,30,45,
,安浦,広,坂,糸崎,広,
,3,5,3,5,3,
20,普通,快速,普通,普通,快速,
,0,10,20,35,50,
,坂,広,広,広,竹原,
,3,3,5,3,3,
21,普通,快速,普通,,,
,10,30,45,,,
,呉,広,安浦,,,
,3,3,5,,,
22,普通,普通,,,,
,11,35,,,,
,広,広,,,,
,5,5,,,,
23,普通,普通,普通,,,
,2,23,43,,,
,広,広,広,,,
,5,3,5,,,
