Bダイヤ 岩国駅 上り時刻表,,,,,
4,普通,,,,
,48,,,,
,糸崎,,,,
,6,,,,
5,普通,普通,普通,,
,16,35,56,,
,白市,糸崎,糸崎,,
,6,6,6,,
6,普通,普通,普通,,
,11,35,48,,
,白市,広島,糸崎,,
,6,6,6,,
7,普通,普通,普通,普通,
,0,11,36,52,
,白市,広島,広,糸崎,
,6,6,6,6,
8,普通,普通,快速,普通,普通
,6,25,36,41,57
,西条,白市,広島,白市,広島
,6,6,6,6,6
9,普通,普通,快速,普通,
,12,25,39,58,
,白市,白市,広島,糸崎,
,6,6,6,6,
10,普通,普通,,,
,23,58,,,
,広島,広島,,,
,6,6,,,
11,普通,普通,,,
,25,49,,,
,白市,糸崎,,,
,6,6,,,
12,普通,普通,,,
,25,58,,,
,白市,糸崎,,,
,6,6,,,
13,普通,普通,,,
,23,56,,,
,広島,糸崎,,,
,6,6,,,
14,普通,普通,,,
,24,57,,,
,白市,広島,,,
,6,6,,,
15,普通,快速,普通,,
,24,39,57,,
,白市,広島,西条,,
,6,6,6,,
16,普通,快速,普通,,
,20,39,57,,
,糸崎,広島,白市,,
,6,6,6,,
17,普通,普通,,,
,23,48,,,
,白市,糸崎,,,
,6,6,,,
18,普通,普通,普通,,
,23,42,55,,
,糸崎,西条,糸崎,,
,6,6,6,,
19,安芸路ライナー,普通,普通,,
,16,26,43,,
,広,広島,白市,,
,6,6,6,,
20,普通,普通,,,
,6,41,,,
,瀬野,白市,,,
,6,6,,,
21,普通,普通,,,
,8,31,,,
,糸崎,白市,,,
,6,6,,,
22,普通,,,,
,10,,,,
,西条,,,,
,6,,,,
23,普通,,,,
,5,,,,
,西条,,,,
,6,,,,
