Aダイヤ 岡山駅 下り時刻表,,,,,
5,普通,普通,,,
,14,56,,,
,播州赤穂,播州赤穂,,,
,3,3,,,
6,普通,普通,普通,特急ｽｰﾊﾟｰいなば,
,14,21,31,46,
,姫路,播州赤穂,吉永,鳥取,
,3,3,4,3,
7,普通,普通,普通,普通,普通
,7,21,38,43,51
,姫路,播州赤穂,西大寺,相生,長船
,3,3,3,4,3
8,普通,普通,普通,普通,
,9,18,30,58,
,相生,和気,播州赤穂,長船,
,3,4,3,3,
9,特急ｽｰﾊﾟｰいなば,普通,普通,普通,
,13,19,25,34,
,鳥取,相生,播州赤穂,瀬戸,
,3,3,3,3,
10,普通,普通,普通,普通,
,11,22,47,55,
,相生,西大寺,瀬戸,播州赤穂,
,4,3,4,3,
11,特急ｽｰﾊﾟｰいなば,普通,普通,普通,普通
,5,12,24,42,53
,鳥取,相生,西大寺,瀬戸,長船
,3,4,3,4,3
12,普通,普通,普通,普通,
,13,24,41,54,
,相生,播州赤穂,西大寺,瀬戸,
,3,3,3,4,
13,普通,普通,特急ｽｰﾊﾟｰいなば,普通,普通
,10,24,43,50,55
,相生,西大寺,鳥取,瀬戸,播州赤穂
,4,3,4,3,3
14,普通,普通,普通,普通,普通
,12,20,41,51,56
,相生,備前片上,西大寺,和気,播州赤穂
,3,3,3,4,3
15,普通,普通,普通,普通,
,11,25,39,55,
,相生,長船,相生,播州赤穂,
,4,3,4,3,
16,普通,普通,普通,普通,普通
,12,18,35,44,56
,相生,長船,播州赤穂,姫路,備前片上
,3,3,3,4,3
17,普通,特急ｽｰﾊﾟｰいなば,普通,普通,普通
,8,24,26,34,49
,姫路,鳥取,播州赤穂,吉永,備前片上
,4,3,3,3,3
18,普通,普通,普通,普通,普通
,0,17,28,41,58
,姫路,播州赤穂,三石,長船,和気
,4,3,3,3,4
19,普通,普通,普通,特急ｽｰﾊﾟｰいなば,普通
,11,17,33,46,55
,播州赤穂,姫路,備前片上,鳥取,姫路
,3,3,3,3,4
20,普通,普通,普通,普通,
,8,28,46,51,
,播州赤穂,姫路,日生,瀬戸,
,3,4,3,3,
21,普通,普通,普通,,
,9,23,50,,
,姫路,播州赤穂,姫路,,
,3,3,3,,
22,普通,普通,特急ｻﾝﾗｲｽﾞ出雲瀬戸,,
,2,20,34,,
,備前片上,三石,東京,,
,3,3,4,,
23,普通,普通,,,
,0,11,,,
,三石,備前片上,,,
,3,3,,,
