Aダイヤ 岡山駅 下り時刻表,,,,,,,
5,快速ﾏﾘﾝﾗｲﾅｰ,普通,,,,,
,27,49,,,,,
,高松,宇野,,,,,
,6,8,,,,,
6,快速ﾏﾘﾝﾗｲﾅｰ,普通,普通,特急サンライズ瀬戸,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,1,9,15,31,37,44,
,高松,児島,宇野,高松,高松,児島,
,6,8,7,8,6,7,
7,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,特急しおかぜ,普通,普通,快速ﾏﾘﾝﾗｲﾅｰ,
,8,10,22,32,40,55,
,高知,高松,松山,児島,宇野,高松,
,6,8,6,7,8,8,
8,普通,快速ﾏﾘﾝﾗｲﾅｰ,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,特急南風,,
,9,24,32,40,52,,
,児島,高松,松山,高松,高知,,
,8,8,6,8,6,,
9,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,快速ﾏﾘﾝﾗｲﾅｰ,
,5,7,25,33,41,54,
,高松,児島,松山,高松,児島,高松,
,8,7,6,8,7,6,
10,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,特急しおかぜ,普通,快速ﾏﾘﾝﾗｲﾅｰ,,
,5,23,35,37,53,,
,高知,高松,松山,児島,高松,,
,8,8,6,7,6,,
11,特急うずしお･南風,快速ﾏﾘﾝﾗｲﾅｰ,臨時ｱﾝﾊﾟﾝﾏﾝﾄﾛｯｺ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通
,5,12,17,23,35,42,45
,徳島･高知,高松,琴平,備前西市,松山,高松,児島
,8,5,7,8,6,8,7
12,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,快速,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,16,35,42,45,
,高知,高松,茶屋町,松山,高松,児島,
,6,8,7,6,8,7,
13,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,快速,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,16,35,42,45,
,高知,高松,茶屋町,松山,高松,児島,
,6,8,7,6,8,7,
14,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,,
,5,13,35,42,45,,
,高知,高松,松山,高松,児島,,
,6,8,6,8,7,,
15,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,臨時ｱﾝﾊﾟﾝﾏﾝﾄﾛｯｺ,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通
,5,13,15,21,35,42,45
,高知,高松,宇野,高松,松山,高松,児島
,6,8,7,5,6,8,7
16,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,15,35,42,45,
,高知,高松,宇野,松山,高松,児島,
,6,8,7,6,8,7,
17,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,15,35,42,45,
,高知,高松,宇野,松山,高松,児島,
,6,8,7,6,8,7,
18,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,15,35,41,48,
,高知,高松,宇野,松山,高松,児島,
,6,8,7,6,8,7,
19,特急うずしお･南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,15,35,42,45,
,徳島･高知,高松,宇野,松山,高松,児島,
,6,8,7,6,8,7,
20,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急しおかぜ,快速ﾏﾘﾝﾗｲﾅｰ,普通,
,5,13,23,39,42,52,
,高知,高松,宇野,松山,高松,児島,
,6,8,7,6,8,7,
21,快速ﾏﾘﾝﾗｲﾅｰ,普通,特急南風,快速ﾏﾘﾝﾗｲﾅｰ,,,
,13,17,39,42,,,
,高松,宇野,高知,高松,,,
,8,7,6,5,,,
22,特急しおかぜ,普通,快速ﾏﾘﾝﾗｲﾅｰ,普通,快速ﾏﾘﾝﾗｲﾅｰ,,
,0,6,12,31,46,,
,伊予西条,児島,高松,宇野,高松,,
,8,7,8,6,8,,
23,快速ﾏﾘﾝﾗｲﾅｰ,普通,快速ﾏﾘﾝﾗｲﾅｰ,,,,
,12,32,43,,,,
,高松,宇野,高松,,,,
,8,7,6,,,,
