Aダイヤ 姫路駅 下り時刻表,,,,,,,,,
5,特急サンライズ出雲,特急サンライズ瀬戸,普通,普通,,,,,
,26,26,29,54,,,,,
,出雲市,高松,岡山,播州赤穂,,,,,
,8,8,7,8,,,,,
6,普通,普通,,,,,,,
,27,32,,,,,,,
,播州赤穂,岡山,,,,,,,
,8,7,,,,,,,
7,普通,普通,普通,普通,,,,,
,5,18,31,53,,,,,
,三原,播州赤穂,新見,播州赤穂,,,,,
,7,8,7,8,,,,,
8,普通,快速,普通,快速,特急ｽｰﾊﾟｰはくと,普通,快速,,
,1,8,13,30,36,41,49,,
,岡山,網干,播州赤穂,網干,倉吉,播州赤穂,網干,,
,7,7,8,8,8,8,7,,
9,普通,快速,快速,普通,快速,,,,
,9,18,29,40,47,,,,
,播州赤穂,網干,網干,播州赤穂,網干,,,,
,8,8,8,7,7,,,,
10,普通,特急ｽｰﾊﾟｰはくと,快速,快速,,,,,
,9,22,31,50,,,,,
,播州赤穂,倉吉,網干,網干,,,,,
,7,8,7,8,,,,,
11,普通,快速,快速,,,,,,
,6,20,49,,,,,,
,播州赤穂,網干,網干,,,,,,
,7,8,8,,,,,,
12,普通,快速,特急ｽｰﾊﾟｰはくと,快速,,,,,
,5,14,20,49,,,,,
,播州赤穂,網干,倉吉,網干,,,,,
,7,8,8,7,,,,,
13,普通,快速,快速,,,,,,
,5,17,49,,,,,,
,播州赤穂,網干,網干,,,,,,
,7,7,7,,,,,,
14,普通,快速,特急ｽｰﾊﾟｰはくと,普通,快速,,,,
,4,15,20,34,49,,,,
,播州赤穂,網干,倉吉,播州赤穂,網干,,,,
,7,7,7,7,8,,,,
15,普通,快速,普通,快速,,,,,
,4,19,34,49,,,,,
,播州赤穂,網干,播州赤穂,網干,,,,,
,7,7,7,8,,,,,
16,普通,快速,特急ｽｰﾊﾟｰはくと,快速,普通,快速,,,
,4,14,20,31,35,49,,,
,播州赤穂,網干,鳥取,網干,播州赤穂,網干,,,
,7,8,7,8,7,7,,,
17,快速,新快速,快速,快速,新快速,,,,
,0,7,16,31,52,,,,
,網干,播州赤穂,網干,網干,播州赤穂,,,,
,7,8,7,8,7,,,,
18,快速,普通,快速,特急ｽｰﾊﾟｰはくと,新快速,快速,普通,新快速,
,1,6,16,22,24,35,40,52,
,網干,三原,網干,倉吉,播州赤穂,網干,上郡,播州赤穂,
,8,7,7,8,8,8,7,7,
19,普通,快速,新快速,快速,新快速,快速,普通,新快速,快速
,4,11,20,30,34,42,47,53,57
,岡山,網干,播州赤穂,網干,網干,網干,岡山,播州赤穂,網干
,7,8,8,8,8,7,7,7,8
20,新快速,新快速,快速,普通,新快速,新快速,,,
,7,25,34,38,43,52,,,
,網干,播州赤穂,網干,福山,網干,播州赤穂,,,
,8,7,8,7,8,7,,,
21,快速,特急ｽｰﾊﾟｰはくと,快速,新快速,快速,普通,快速,,
,1,8,18,22,31,40,53,,
,網干,鳥取,網干,播州赤穂,網干,岡山,網干,,
,8,8,7,8,8,7,7,,
22,新快速,快速,快速,新快速,,,,,
,7,25,35,51,,,,,
,上郡,網干,播州赤穂,網干,,,,,
,8,7,7,8,,,,,
23,快速,新快速,快速,新快速,普通,新快速,,,
,2,6,15,25,28,49,,,
,上郡,網干,網干,網干,播州赤穂,網干,,,
,7,8,8,8,7,8,,,
0,快速,,,,,,,,
,9,,,,,,,,
,上郡,,,,,,,,
,7,,,,,,,,
