平日ダイヤ 姫路駅 上り時刻表,,,,,,,,,,,,,
4,快速,,,,,,,,,,,,
,59,,,,,,,,,,,,
,米原,,,,,,,,,,,,
,5,,,,,,,,,,,,
5,快速,快速,快速,新快速,快速,新快速,新快速,,,,,,
,19,34,39,43,47,51,58,,,,,,
,米原,米原,米原,野洲,米原,米原,野洲,,,,,,
,5,5,6,5,6,5,5,,,,,,
6,快速,快速,新快速,快速,特急らくラクはりま,新快速,快速,新快速,新快速,快速,新快速,快速,新快速
,3,6,12,16,21,26,32,37,37,42,46,50,56
,野洲,近江塩津,近江塩津,米原,新大阪,野洲,大阪,米原,敦賀,野洲,野洲,大阪,長浜
,6,5,5,6,6,5,6,5,5,6,5,6,5
7,快速,新快速,快速,新快速,快速,新快速,快速,新快速,快速,新快速,新快速,,
,1,5,9,15,19,24,29,34,37,44,54,,
,米原,近江今津,大阪,野洲,野洲,草津,大阪,野洲,米原,草津,野洲,,
,6,5,5,6,5,6,5,5,6,6,5,,
8,快速,新快速,特急ｽｰﾊﾟｰはくと,快速,新快速,快速,新快速,快速,新快速,,,,
,0,10,14,16,25,31,40,45,55,,,,
,野洲,敦賀,京都,米原,近江塩津,野洲,野洲,米原,草津,,,,
,5,6,6,6,6,5,5,6,6,,,,
9,特急はまかぜ,快速,新快速,快速,新快速,快速,新快速,快速,新快速,,,,
,0,2,11,16,26,32,41,47,56,,,,
,大阪,野洲,敦賀,米原,近江塩津,野洲,野洲,米原,草津,,,,
,2,5,5,6,5,6,5,6,5,,,,
10,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,新快速,,,,,,
,2,11,25,27,32,42,57,,,,,,
,野洲,敦賀,京都,近江塩津,野洲,野洲,草津,,,,,,
,6,6,6,6,5,6,5,,,,,,
11,快速,新快速,新快速,快速,新快速,新快速,,,,,,,
,2,12,27,32,42,57,,,,,,,
,野洲,敦賀,近江塩津,野洲,野洲,草津,,,,,,,
,6,6,5,6,5,5,,,,,,,
12,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,新快速,,,,,,
,2,12,25,27,32,42,57,,,,,,
,野洲,敦賀,京都,近江塩津,野洲,野洲,長浜,,,,,,
,6,5,5,6,5,5,5,,,,,,
13,快速,新快速,新快速,快速,新快速,新快速,,,,,,,
,2,12,27,32,42,57,,,,,,,
,野洲,敦賀,近江塩津,野洲,野洲,長浜,,,,,,,
,6,5,5,6,6,5,,,,,,,
14,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,新快速,,,,,,
,2,12,25,27,31,41,56,,,,,,
,米原,敦賀,京都,敦賀,米原,野洲,長浜,,,,,,
,6,5,5,6,6,5,6,,,,,,
15,快速,新快速,新快速,快速,新快速,新快速,快速,,,,,,
,1,11,26,31,41,56,58,,,,,,
,米原,野洲,敦賀,米原,野洲,長浜,米原,,,,,,
,5,6,5,6,6,6,5,,,,,,
16,特急はまかぜ,新快速,快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,快速,新快速,,,,
,7,10,15,25,27,32,42,47,56,,,,
,大阪,野洲,米原,京都,敦賀,米原,野洲,長浜,長浜,,,,
,2,5,5,5,6,5,6,6,6,,,,
17,快速,新快速,快速,新快速,快速,新快速,快速,新快速,,,,,
,2,11,17,26,32,41,47,56,,,,,
,野洲,草津,米原,敦賀,野洲,草津,米原,米原,,,,,
,5,6,5,6,5,6,6,5,,,,,
18,快速,新快速,快速,新快速,特急ｽｰﾊﾟｰはくと,快速,新快速,快速,新快速,快速,,,
,2,10,14,24,28,32,41,47,56,58,,,
,野洲,野洲,米原,長浜,京都,野洲,野洲,米原,長浜,野洲,,,
,6,5,5,6,5,6,6,5,5,6,,,
19,特急はまかぜ,新快速,快速,新快速,快速,新快速,快速,新快速,,,,,
,6,11,17,26,32,41,47,56,,,,,
,大阪,野洲,米原,長浜,野洲,野洲,米原,米原,,,,,
,2,5,5,6,6,5,6,5,,,,,
20,快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,快速,新快速,新快速,快速,,,,
,0,10,11,15,26,30,41,55,57,,,,
,野洲,京都,野洲,米原,米原,米原,野洲,米原,米原,,,,
,6,5,6,5,6,5,5,5,6,,,,
21,新快速,快速,新快速,快速,新快速,,,,,,,,
,16,18,36,38,56,,,,,,,,
,野洲,米原,野洲,野洲,草津,,,,,,,,
,6,5,6,5,6,,,,,,,,
22,快速,新快速,普通,新快速,普通,新快速,,,,,,,
,0,16,18,35,39,56,,,,,,,
,野洲,野洲,西明石,野洲,西明石,京都,,,,,,,
,6,6,5,6,6,5,,,,,,,
23,普通,特急ｻﾝﾗｲｽﾞ出雲 瀬戸,,,,,,,,,,,
,17,33,,,,,,,,,,,
,西明石,東京,,,,,,,,,,,
,5,6,,,,,,,,,,,
