平日ダイヤ 姫路駅 上り時刻表,,,,,,,,,,,,,
5,快速,快速,快速,快速,新快速,快速,新快速,新快速,,,,,
,0,19,34,39,43,47,51,58,,,,,
,京都方面米原,京都方面米原,京都方面米原,京都方面米原,京都方面野洲,京都方面米原,京都方面米原,京都方面野洲,,,,,
,5,5,5,6,5,6,5,5,,,,,
6,快速,快速,新快速,快速,特急らくラクはりま,新快速,快速,新快速,新快速,快速,新快速,快速,新快速
,3,6,12,16,21,26,32,37,37,42,46,50,56
,京都方面野洲,米原方面近江塩津,米原方面近江塩津,京都方面米原,京都,京都方面野洲,大阪,京都方面米原,湖西経由敦賀,京都方面野洲,京都方面野洲,大阪,米原方面長浜
,6,5,5,6,6,5,6,5,5,6,5,5,5
7,快速,新快速,快速,新快速,快速,新快速,快速,新快速,快速,新快速,新快速,,
,1,5,9,15,19,24,29,34,37,44,54,,
,京都方面米原,近江今津,大阪,京都方面野洲,京都方面野洲,京都方面草津,大阪,京都方面野洲,京都方面米原,京都方面草津,京都方面野洲,,
,6,5,5,6,5,6,5,5,6,6,5,,
8,快速,新快速,特急ｽｰﾊﾟｰはくと,快速,新快速,快速,新快速,快速,新快速,,,,
,0,10,14,16,25,30,40,45,55,,,,
,京都方面野洲,湖西経由敦賀,大阪,京都方面米原,米原方面近江塩津,京都方面野洲,京都方面野洲,京都方面米原,京都方面草津,,,,
,5,6,5,5,6,5,5,6,6,,,,
9,特急はまかぜ,快速,新快速,快速,新快速,快速,新快速,快速,新快速,,,,
,0,3,11,16,26,32,41,47,56,,,,
,大阪,京都方面野洲,湖西経由敦賀,京都方面米原,米原方面近江塩津,京都方面野洲,京都方面野洲,京都方面米原,京都方面草津,,,,
,5,5,5,6,5,6,5,6,5,,,,
10,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,新快速,,,,,,
,2,11,25,27,32,42,57,,,,,,
,京都方面野洲,湖西経由敦賀,大阪,米原方面近江塩津,京都方面野洲,京都方面野洲,京都方面草津,,,,,,
,6,6,5,6,5,6,5,,,,,,
11,快速,新快速,新快速,快速,新快速,新快速,,,,,,,
,2,12,27,32,42,57,,,,,,,
,京都方面野洲,湖西経由敦賀,米原方面近江塩津,京都方面野洲,京都方面野洲,京都方面草津,,,,,,,
,6,6,5,6,5,5,,,,,,,
12,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,快速,新快速,新快速,,,,,,
,2,12,25,27,32,42,57,,,,,,
,京都方面野洲,湖西経由敦賀,大阪,米原方面近江塩津,京都方面野洲,京都方面野洲,米原方面長浜,,,,,,
,6,5,5,6,5,5,6,,,,,,
13,快速,新快速,新快速,快速,新快速,特急ｽｰﾊﾟｰはくと,新快速,,,,,,
,2,12,27,32,42,54,57,,,,,,
,京都方面野洲,湖西経由敦賀,米原方面近江塩津,京都方面野洲,京都方面野洲,大阪,米原方面長浜,,,,,,
,5,5,5,6,6,5,6,,,,,,
14,快速,新快速,新快速,快速,新快速,新快速,,,,,,,
,2,12,27,32,41,56,,,,,,,
