Aダイヤ 姫路駅 下り時刻表,,,,,
5,普通,,,,
,47,,,,
,寺前,,,,
,2,,,,
6,普通,普通,,,
,20,39,,,
,寺前,寺前,,,
,1,2,,,
7,普通,普通,普通,,
,1,23,51,,
,寺前,寺前,福崎,,
,1,2,1,,
8,普通,普通,特急はまかぜ,,
,20,39,58,,
,寺前,福崎,鳥取,,
,1,2,7,,
9,普通,普通,,,
,7,39,,,
,寺前,寺前,,,
,1,1,,,
10,普通,普通,,,
,21,59,,,
,寺前,福崎,,,
,2,2,,,
11,普通,,,,
,32,,,,
,寺前,,,,
,2,,,,
12,普通,普通,,,
,11,43,,,
,福崎,寺前,,,
,2,2,,,
13,普通,特急はまかぜ,普通,,
,11,25,51,,
,福崎,香住,寺前,,
,2,7,2,,
14,普通,,,,
,33,,,,
,寺前,,,,
,1,,,,
15,普通,普通,,,
,7,39,,,
,寺前,寺前,,,
,2,2,,,
16,普通,普通,普通,,
,12,31,51,,
,福崎,寺前,寺前,,
,1,2,1,,
17,普通,普通,普通,,
,8,27,48,,
,福崎,寺前,寺前,,
,2,2,1,,
18,普通,普通,普通,,
,10,27,46,,
,福崎,寺前,福崎,,
,1,2,2,,
19,普通,特急はまかぜ,普通,普通,普通
,3,21,24,37,57
,寺前,豊岡,福崎,寺前,寺前
,1,7,1,2,1
20,普通,普通,,,
,17,41,,,
,寺前,寺前,,,
,2,1,,,
21,普通,普通,,,
,3,33,,,
,寺前,寺前,,,
,2,2,,,
22,普通,普通,,,
,3,33,,,
,寺前,寺前,,,
,1,2,,,
23,普通,普通,,,
,3,33,,,
,福崎,寺前,,,
,1,1,,,
