Aダイヤ 姫路駅 下り時刻表,,,
6,普通,普通,普通
,10,34,55
,上月,余部,播磨新宮
,3,3,3
7,普通,普通,普通
,20,31,37
,播磨新宮,播磨新宮,余部
,3,4,3
8,普通,普通,普通
,2,16,41
,余部,播磨新宮,余部
,3,4,3
9,普通,普通,普通
,9,30,50
,播磨新宮,余部,播磨新宮
,4,3,4
10,普通,普通,
,22,45,
,余部,播磨新宮,
,3,3,
11,普通,普通,
,25,53,
,上月,播磨新宮,
,3,3,
12,普通,普通,普通
,13,25,53
,余部,播磨新宮,余部
,3,4,3
13,普通,,
,25,,
,播磨新宮,,
,3,,
14,普通,普通,
,25,53,
,播磨新宮,播磨新宮,
,3,3,
15,普通,普通,
,25,51,
,播磨新宮,播磨新宮,
,3,3,
16,普通,普通,
,23,54,
,播磨新宮,播磨新宮,
,3,3,
17,普通,普通,普通
,25,47,56
,播磨新宮,余部,播磨新宮
,3,3,4
18,普通,普通,
,25,57,
,上月,播磨新宮,
,3,3,
19,普通,普通,
,8,24,
,余部,佐用,
,4,3,
20,普通,普通,普通
,0,16,36
,上月,余部,播磨新宮
,3,4,3
21,普通,普通,
,1,39,
,上月,播磨新宮,
,3,3,
22,普通,普通,
,18,54,
,佐用,播磨新宮,
,3,4,
23,普通,,
,21,,
,播磨新宮,,
,3,,
