土休日ダイヤ 米原駅 下り時刻表,,,,,
4,快速,,,,
,59,,,,
,網干,,,,
,3,,,,
5,快速,快速,,,
,31,57,,,
,姫路,姫路,,,
,3,3,,,
6,快速,新快速,快速,新快速,快速
,12,29,34,46,53
,網干,播州赤穂,姫路,姫路,加古川
,3,3,3,3,3
7,新快速,快速,快速,新快速,快速
,03,12,28,46,52
,姫路,網干,加古川,網干,加古川
,3,2,3,3,2
8,新快速,新快速,快速,快速,新快速
,02,18,28,38,48
,姫路,姫路,加古川,網干,姫路
,3,3,3,3,3
9,快速,新快速,快速,新快速,快速
,09,19,39,50,59
,網干,姫路,網干,姫路,加古川
,3,3,3,3,3
10,新快速,快速,新快速,快速,
,20,29,50,59,
,姫路,加古川,姫路,加古川,
,3,3,3,3,
11,快速,新快速,快速,,
,29,50,59,,
,加古川,姫路,加古川,,
,3,3,3,,
12,快速,新快速,快速,,
,29,50,59,,
,加古川,姫路,網干,,
,3,3,3,,
13,快速,新快速,快速,,
,29,50,59,,
,網干,姫路,姫路,,
,3,3,3,,
14,快速,新快速,快速,,
,29,50,59,,
,網干,姫路,網干,,
,3,3,3,,
15,快速,新快速,快速,,
,29,47,59,,
,姫路,播州赤穂,姫路,,
,3,3,3,,
16,新快速,快速,新快速,快速,
,17,29,47,59,
,播州赤穂,網干,播州赤穂,姫路,
,3,3,3,3,
17,新快速,快速,新快速,快速,
,17,27,47,57,
,播州赤穂,姫路,播州赤穂,網干,
,3,3,3,3,
18,新快速,特急ひだ36号,快速,快速,新快速
,17,23,28,36,47
,播州赤穂,大阪,姫路,姫路,播州赤穂
,3,2,3,2,3
19,快速,新快速,快速,新快速,快速
,06,18,33,54,57
,加古川,姫路,網干,網干,播州赤穂
,2,3,2,3,2
20,新快速,快速,快速,新快速,
,14,33,47,54,
,上郡,上郡,姫路,姫路,
,3,3,3,3,
21,快速,新快速,快速,,
,14,34,41,,
,姫路,姫路,姫路,,
,3,3,3,,
22,快速,普通,,,
,11,42,,,
,大阪,京都,,,
,3,3,,,
23,普通,,,,
,01,,,,
,京都,,,,
,2,,,,
