Aダイヤ 米原駅 下り時刻表,,,,
6,新快速,新快速,新快速,
,6,27,46,
,名古屋方面豊橋,名古屋方面豊橋,名古屋方面豊橋,
,7,8,8,
7,新快速,新快速,特急しらさぎ,
,7,27,52,
,名古屋方面豊橋,名古屋方面豊橋,名古屋,
,8,8,7,
8,普通,普通,,
,3,33,,
,大垣,大垣,,
,7,8,,
9,普通,特急ひだ25号,特急しらさぎ,普通
,18,22,50,56
,大垣,高山,名古屋,大垣
,8,8,7,8
10,普通,,,
,30,,,
,大垣,,,
,8,,,
11,普通,普通,特急しらさぎ,
,0,30,52,
,大垣,大垣,名古屋,
,7,7,7,
12,普通,普通,,
,0,30,,
,大垣,大垣,,
,8,7,,
13,普通,普通,特急しらさぎ,
,0,30,51,
,大垣,大垣,名古屋,
,8,7,7,
14,普通,普通,,
,3,30,,
,大垣,大垣,,
,7,8,,
15,普通,普通,特急しらさぎ,
,0,30,50,
,大垣,大垣,名古屋,
,8,7,7,
16,普通,普通,特急しらさぎ,
,0,30,50,
,大垣,大垣,名古屋,
,8,8,7,
17,新快速,普通,普通,
,0,30,46,
,名古屋方面豊橋,大垣,大垣,
,8,7,8,
18,普通,普通,特急しらさぎ,
,18,40,50,
,大垣,大垣,名古屋,
,8,8,7,
19,新快速,新快速,,
,5,35,,
,名古屋方面豊橋,名古屋方面豊橋,,
,7,8,,
20,新快速,新快速,特急しらさぎ,
,5,35,55,
,名古屋方面豊橋,名古屋方面豊橋,名古屋,
,7,8,7,
21,快速,快速,,
,7,30,,
,名古屋方面豊橋,名古屋方面豊橋,,
,8,8,,
22,快速,快速,,
,7,38,,
,名古屋方面豊橋,名古屋方面豊橋,,
,7,7,,
23,普通,,,
,9,,,
,大垣,,,
,8,,,
