Aダイヤ 岡山駅 下り時刻表,,,
5,普通,,
,25,,
,米子,,
,1,,
6,特急サンライズ出雲,普通,
,34,38,
,出雲市,新見,
,2,1,
7,特急やくも,普通,普通
,5,25,49
,出雲市,新見,備中高梁
,2,1,1
8,特急やくも,普通,
,5,20,
,出雲市,備中高梁,
,2,1,
9,特急やくも,普通,
,5,18,
,出雲市,新見,
,2,1,
10,特急やくも,普通,普通
,5,14,40
,出雲市,新見,総社
,2,1,1
11,特急やくも,普通,普通
,5,14,41
,出雲市,新見,総社
,2,1,1
12,特急やくも,普通,普通
,5,18,39
,出雲市,総社,新見
,2,1,1
13,特急やくも,普通,普通
,5,18,40
,出雲市,備中高梁,備中高梁
,2,1,1
14,特急やくも,普通,普通
,5,19,40
,出雲市,新見,備中高梁
,2,1,1
15,特急やくも,普通,普通
,5,19,49
,出雲市,新見,備中高梁
,2,1,1
16,特急やくも,普通,普通
,5,19,40
,出雲市,新見,備中高梁
,2,1,1
17,特急やくも,普通,普通
,5,15,44
,出雲市,備中高梁,新見
,2,1,1
18,特急やくも,普通,普通
,5,20,45
,出雲市,備中高梁,新見
,2,1,1
19,特急やくも,普通,普通
,5,21,49
,出雲市,備中高梁,新見
,2,1,1
20,特急やくも,普通,
,5,11,
,出雲市,備中高梁,
,2,1,
21,普通,特急やくも,
,4,20,
,新見,出雲市,
,1,2,
22,普通,,
,17,,
,新見,,
,1,,
23,普通,,
,9,,
,備中高梁,,
,1,,
